window	n	s	window_end	n_recovered_in_win	clade
8	10.0	2.0	36.0	35.0	0
9	10.0	6.0	40.0	40.0	0
10	10.0	5.0	44.0	62.0	0
11	10.0	9.0	48.0	96.0	0
12	10.0	10.0	52.0	142.0	0
