	t	genotype	recovered_window
0	38.4	11.0	40.0
1	36.9	0.0	40.0
2	40.0	4.0	40.0
3	38.5	16.0	40.0
4	38.8	5.0	40.0
5	37.7	0.0	40.0
6	38.2	14.0	40.0
7	37.4	5.0	40.0
8	38.2	0.0	40.0
9	39.2	10.0	40.0
10	38.0	0.0	40.0
11	39.1	0.0	40.0
12	39.6	0.0	40.0
13	39.2	15.0	40.0
14	38.1	4.0	40.0
15	37.2	4.0	40.0
16	39.4	10.0	40.0
17	39.4	0.0	40.0
18	38.7	0.0	40.0
19	39.5	0.0	40.0
20	39.4	4.0	40.0
21	37.6	0.0	40.0
22	36.1	0.0	40.0
23	37.9	0.0	40.0
24	37.3	0.0	40.0
25	38.1	17.0	40.0
26	37.7	5.0	40.0
27	38.7	0.0	40.0
28	39.0	17.0	40.0
29	36.7	10.0	40.0
30	36.8	0.0	40.0
31	39.0	0.0	40.0
32	38.5	15.0	40.0
33	39.8	28.0	40.0
34	38.2	5.0	40.0
35	37.1	0.0	40.0
36	38.8	16.0	40.0
37	37.9	0.0	40.0
38	40.0	11.0	40.0
39	37.3	0.0	40.0
0	41.1	0.0	44.0
1	42.8	29.0	44.0
2	41.4	16.0	44.0
3	43.8	16.0	44.0
4	43.2	16.0	44.0
5	41.6	33.0	44.0
6	41.1	0.0	44.0
7	40.5	0.0	44.0
8	41.5	0.0	44.0
9	41.6	0.0	44.0
10	43.2	26.0	44.0
11	41.2	25.0	44.0
12	40.7	0.0	44.0
13	42.4	31.0	44.0
14	42.8	14.0	44.0
15	42.2	4.0	44.0
16	43.7	0.0	44.0
17	41.9	10.0	44.0
18	41.2	0.0	44.0
19	41.8	16.0	44.0
20	43.7	0.0	44.0
21	42.3	0.0	44.0
22	43.9	0.0	44.0
23	42.3	29.0	44.0
24	43.8	26.0	44.0
25	42.0	16.0	44.0
26	41.1	16.0	44.0
27	42.4	0.0	44.0
28	43.0	0.0	44.0
29	43.0	0.0	44.0
30	41.7	15.0	44.0
31	40.4	5.0	44.0
32	42.7	21.0	44.0
33	41.8	4.0	44.0
34	43.0	0.0	44.0
35	41.9	28.0	44.0
36	43.9	18.0	44.0
37	40.5	0.0	44.0
38	43.8	16.0	44.0
39	44.0	4.0	44.0
0	47.5	4.0	48.0
1	46.6	16.0	48.0
2	45.9	41.0	48.0
3	45.3	0.0	48.0
4	46.1	22.0	48.0
5	45.3	0.0	48.0
6	46.8	0.0	48.0
7	46.1	48.0	48.0
8	44.2	15.0	48.0
9	47.3	23.0	48.0
10	45.3	0.0	48.0
11	47.1	65.0	48.0
12	46.4	58.0	48.0
13	44.3	22.0	48.0
14	45.5	23.0	48.0
15	47.8	22.0	48.0
16	44.9	4.0	48.0
17	45.8	36.0	48.0
18	46.0	24.0	48.0
19	45.1	0.0	48.0
20	46.2	22.0	48.0
21	46.3	4.0	48.0
22	47.1	23.0	48.0
23	46.4	4.0	48.0
24	48.0	11.0	48.0
25	44.9	9.0	48.0
26	47.0	16.0	48.0
27	46.4	27.0	48.0
28	45.4	45.0	48.0
29	46.0	16.0	48.0
30	45.3	51.0	48.0
31	44.1	14.0	48.0
32	47.3	4.0	48.0
33	46.2	4.0	48.0
34	47.1	15.0	48.0
35	44.7	0.0	48.0
36	47.4	62.0	48.0
37	46.1	4.0	48.0
38	47.8	59.0	48.0
39	47.1	0.0	48.0
0	51.7	26.0	52.0
1	49.4	44.0	52.0
2	51.8	56.0	52.0
