window	n	s	window_end	n_recovered_in_win	clade
9	40.0	10.0	40.0	42.0	0
10	40.0	17.0	44.0	61.0	0
11	40.0	24.0	48.0	97.0	0
12	40.0	30.0	52.0	143.0	0
13	40.0	37.0	56.0	211.0	0
14	40.0	46.0	60.0	271.0	0
15	40.0	54.0	64.0	387.0	0
16	40.0	41.0	68.0	614.0	0
17	40.0	51.0	72.0	829.0	0
18	40.0	59.0	76.0	1324.0	0
19	40.0	74.0	80.0	1844.0	0
20	40.0	78.0	84.0	2633.0	0
21	40.0	84.0	88.0	3596.0	0
22	40.0	88.0	92.0	4686.0	0
23	40.0	100.0	96.0	5595.0	0
24	40.0	103.0	100.0	6268.0	0
25	40.0	97.0	104.0	6541.0	0
26	40.0	112.0	108.0	6207.0	0
27	40.0	84.0	112.0	5489.0	0
28	40.0	133.0	116.0	4446.0	0
29	40.0	145.0	120.0	3383.0	0
30	40.0	135.0	124.0	2641.0	0
31	40.0	145.0	128.0	1836.0	0
32	40.0	144.0	132.0	1374.0	0
33	40.0	152.0	136.0	969.0	0
34	40.0	125.0	140.0	661.0	0
35	40.0	165.0	144.0	469.0	0
36	40.0	153.0	148.0	355.0	0
37	40.0	144.0	152.0	208.0	0
38	40.0	149.0	156.0	143.0	0
39	40.0	158.0	160.0	90.0	0
40	40.0	106.0	164.0	72.0	0
41	40.0	107.0	168.0	43.0	0
