R0	mean_logL	sim_no
1.0	-208.35437310370966	20
1.05	-187.05310664185876	20
1.1	-165.2091070570489	20
1.15	-146.06162375902855	20
1.2	-135.3395770619549	20
1.25	-129.36554843750667	20
1.3	-127.52719753369911	20
1.35	-125.74430975237752	20
1.4	-125.13069439411247	20
1.41	-125.27318466603762	20
1.42	-125.11563561089292	20
1.43	-125.01835093935995	20
1.44	-125.05145550611664	20
1.45	-124.71661666709781	20
1.46	-124.90524030790978	20
1.47	-124.6001182908984	20
1.48	-124.54989771969952	20
1.49	-124.23279821872241	20
1.5	-124.54495952515045	20
1.51	-124.63677888904722	20
1.52	-124.47413635217774	20
1.53	-124.21727457331315	20
1.54	-124.64141750126558	20
1.55	-124.08842328559606	20
1.56	-124.47587511676147	20
1.57	-124.28160036646189	20
1.58	-124.30935964868988	20
1.59	-124.24322699310783	20
1.6	-124.33657673332664	20
1.61	-124.50427949630355	20
1.62	-124.20138710905537	20
1.63	-124.34255913161401	20
1.64	-124.55193133040345	20
1.65	-124.57234916545072	20
1.66	-124.42879821267381	20
1.67	-124.44304869814616	20
1.68	-124.47648730098781	20
1.69	-124.57398508692681	20
1.7	-124.8255795917028	20
1.71	-124.58264673615729	20
1.72	-125.56463716867934	20
1.73	-125.2688259255671	20
1.74	-125.12813656664018	20
1.75	-125.35912871696159	20
1.76	-125.77040598595651	20
1.77	-125.06586584323072	20
1.78	-125.92794144737529	20
1.79	-125.78645728099382	20
1.8	-126.13393517652851	20
1.85	-127.10759497408347	20
1.9	-129.7832087034206	20
1.95	-132.77902969156747	20
2.0		20
2.05		20
2.1		20
2.15		20
2.2		20
2.25		20
2.3		20
2.35		20
2.4		20
2.45		20
2.5		20
