n_iter	R0	llh
0.0	1.4	-125.15646229418962
0.0	1.41	-127.75455694682435
0.0	1.42	-125.3391609128328
0.0	1.43	-126.29416876977092
0.0	1.44	-124.21373926190698
0.0	1.45	-124.38270034611303
0.0	1.46	-126.66792240011173
0.0	1.47	-124.89237022192748
0.0	1.48	-124.7195441076482
0.0	1.49	-123.52615317296886
0.0	1.5	-125.9732029977031
0.0	1.51	-125.02268508201522
0.0	1.52	-124.6434390777687
0.0	1.53	-122.82955170504215
0.0	1.54	-124.50340726217188
0.0	1.55	-124.2318671384148
0.0	1.56	-124.09166754180708
0.0	1.57	-124.00197453251558
0.0	1.58	-124.11679359777197
0.0	1.59	-123.44551565624337
0.0	1.6	-124.1193560721239
0.0	1.61	-124.23592176524912
0.0	1.62	-123.24637325441722
0.0	1.6300000000000001	-123.89185085123867
0.0	1.6400000000000001	-123.79179681217825
0.0	1.6500000000000001	-124.22032073082737
0.0	1.6600000000000001	-124.00400956730006
0.0	1.6700000000000002	-124.84066722379185
0.0	1.6800000000000002	-124.60666523921952
0.0	1.6900000000000002	-123.38722487812701
0.0	1.7000000000000002	-123.61326465833436
0.0	1.7100000000000002	-124.27609149136674
0.0	1.7200000000000002	-129.6530377245769
0.0	1.7300000000000002	-125.56556628894657
0.0	1.7400000000000002	-129.1638994310442
0.0	1.7500000000000002	-124.74080306700483
0.0	1.7600000000000002	-124.2115834358107
0.0	1.7700000000000002	-124.98138907968634
0.0	1.7800000000000002	-126.44277011615853
0.0	1.7900000000000003	-124.30218106307778
0.0	1.8000000000000003	-126.15546609758574
