	t	genotype	recovered_window
0	40.0	4.0	40.0
1	39.2	10.0	40.0
2	38.5	16.0	40.0
3	39.5	0.0	40.0
4	37.7	0.0	40.0
5	39.0	17.0	40.0
6	38.8	16.0	40.0
7	37.9	0.0	40.0
8	38.7	0.0	40.0
9	36.9	0.0	40.0
10	36.8	0.0	40.0
11	39.4	10.0	40.0
12	38.6	0.0	40.0
13	39.4	4.0	40.0
14	38.4	11.0	40.0
15	39.4	0.0	40.0
16	38.2	14.0	40.0
17	39.2	15.0	40.0
18	39.1	0.0	40.0
19	40.0	11.0	40.0
20	39.6	0.0	40.0
21	38.1	4.0	40.0
22	37.7	5.0	40.0
23	37.1	0.0	40.0
24	36.7	10.0	40.0
25	38.7	0.0	40.0
26	39.8	28.0	40.0
27	39.0	0.0	40.0
28	37.3	0.0	40.0
29	37.9	0.0	40.0
30	38.2	5.0	40.0
31	38.0	0.0	40.0
32	37.3	0.0	40.0
33	39.5	16.0	40.0
34	38.2	0.0	40.0
35	38.8	5.0	40.0
36	38.1	17.0	40.0
37	38.5	15.0	40.0
38	37.2	4.0	40.0
39	37.4	5.0	40.0
0	42.4	0.0	44.0
1	42.8	14.0	44.0
2	40.1	5.0	44.0
3	43.8	26.0	44.0
4	41.4	16.0	44.0
5	41.1	0.0	44.0
6	41.2	25.0	44.0
7	42.3	0.0	44.0
8	40.5	0.0	44.0
9	42.5	22.0	44.0
10	43.6	38.0	44.0
11	41.9	28.0	44.0
12	43.7	0.0	44.0
13	43.8	16.0	44.0
14	41.2	0.0	44.0
15	43.8	16.0	44.0
16	40.4	5.0	44.0
17	43.5	15.0	44.0
18	43.7	32.0	44.0
19	42.8	29.0	44.0
20	40.5	4.0	44.0
21	42.3	29.0	44.0
22	43.6	30.0	44.0
23	43.0	0.0	44.0
24	41.5	0.0	44.0
25	41.6	0.0	44.0
26	43.7	4.0	44.0
27	42.7	21.0	44.0
28	40.5	0.0	44.0
29	41.9	0.0	44.0
30	41.3	20.0	44.0
31	42.8	14.0	44.0
32	43.2	16.0	44.0
33	41.4	5.0	44.0
34	44.0	4.0	44.0
35	43.9	18.0	44.0
36	42.0	16.0	44.0
37	40.3	0.0	44.0
38	41.7	15.0	44.0
39	43.0	0.0	44.0
0	47.1	0.0	48.0
1	45.5	46.0	48.0
2	46.2	16.0	48.0
3	45.8	36.0	48.0
4	46.6	15.0	48.0
5	45.6	52.0	48.0
6	44.1	14.0	48.0
7	46.1	15.0	48.0
8	47.6	26.0	48.0
9	46.2	4.0	48.0
10	47.0	4.0	48.0
11	46.9	0.0	48.0
12	46.7	0.0	48.0
13	44.6	0.0	48.0
14	47.6	0.0	48.0
15	47.4	62.0	48.0
16	45.2	0.0	48.0
17	47.4	9.0	48.0
18	45.3	51.0	48.0
19	46.4	27.0	48.0
20	46.4	4.0	48.0
21	44.2	15.0	48.0
22	47.2	26.0	48.0
23	44.5	0.0	48.0
24	47.6	0.0	48.0
25	46.2	26.0	48.0
26	47.1	15.0	48.0
27	45.3	0.0	48.0
28	46.9	4.0	48.0
29	46.9	16.0	48.0
30	46.4	0.0	48.0
31	48.0	11.0	48.0
32	47.5	4.0	48.0
33	46.3	4.0	48.0
34	47.6	14.0	48.0
35	45.1	0.0	48.0
36	47.8	22.0	48.0
37	45.2	54.0	48.0
38	47.5	16.0	48.0
39	45.6	18.0	48.0
0	51.9	111.0	52.0
1	48.5	26.0	52.0
2	51.3	4.0	52.0
3	50.4	39.0	52.0
4	51.9	69.0	52.0
5	51.0	15.0	52.0
6	51.9	16.0	52.0
7	48.9	59.0	52.0
8	48.7	0.0	52.0
9	48.1	42.0	52.0
10	48.5	16.0	52.0
11	50.9	9.0	52.0
12	48.6	26.0	52.0
13	49.8	4.0	52.0
14	50.2	95.0	52.0
15	48.4	15.0	52.0
16	49.8	35.0	52.0
17	49.0	0.0	52.0
18	48.9	50.0	52.0
19	50.4	26.0	52.0
20	51.9	107.0	52.0
21	50.1	15.0	52.0
22	51.5	113.0	52.0
23	51.6	0.0	52.0
24	50.3	35.0	52.0
25	50.2	77.0	52.0
26	50.7	0.0	52.0
27	50.4	23.0	52.0
28	50.0	23.0	52.0
29	48.4	16.0	52.0
30	51.1	57.0	52.0
31	51.4	36.0	52.0
32	49.0	56.0	52.0
33	52.0	49.0	52.0
34	50.3	4.0	52.0
35	51.6	0.0	52.0
36	51.8	0.0	52.0
37	51.5	0.0	52.0
38	51.8	34.0	52.0
39	51.4	91.0	52.0
0	53.7	137.0	56.0
1	53.4	87.0	56.0
2	56.0	14.0	56.0
3	53.0	23.0	56.0
4	55.7	135.0	56.0
5	53.2	110.0	56.0
6	52.1	14.0	56.0
7	55.5	22.0	56.0
8	53.5	0.0	56.0
9	55.3	22.0	56.0
10	54.5	131.0	56.0
11	55.7	23.0	56.0
12	55.7	4.0	56.0
13	54.2	4.0	56.0
14	55.4	71.0	56.0
