window	n	s	window_end	n_recovered_in_win	clade
9	40.0	10.0	40.0	42.0	0
10	40.0	20.0	44.0	61.0	0
11	40.0	27.0	48.0	97.0	0
12	40.0	24.0	52.0	143.0	0
13	40.0	30.0	56.0	211.0	0
14	40.0	39.0	60.0	271.0	0
15	40.0	43.0	64.0	387.0	0
16	40.0	48.0	68.0	614.0	0
17	40.0	50.0	72.0	711.0	0
18	40.0	46.0	76.0	617.0	0
19	40.0	55.0	80.0	474.0	0
20	40.0	48.0	84.0	434.0	0
21	40.0	67.0	88.0	294.0	0
22	40.0	71.0	92.0	240.0	0
23	40.0	67.0	96.0	198.0	0
24	40.0	55.0	100.0	170.0	0
25	40.0	64.0	104.0	144.0	0
26	40.0	55.0	108.0	96.0	0
27	40.0	58.0	112.0	72.0	0
28	40.0	71.0	116.0	46.0	0
29	40.0	59.0	120.0	49.0	0
