window	n	s	window_end	n_recovered_in_win	clade
16	1.0	0.0	33.0	16.0	0
24	1.0	0.0	49.0	73.0	0
25	1.0	0.0	51.0	58.0	0
27	1.0	0.0	55.0	100.0	0
29	1.0	0.0	59.0	152.0	0
30	1.0	0.0	61.0	166.0	0
31	2.0	2.0	63.0	190.0	0
33	3.0	8.0	67.0	291.0	0
34	2.0	7.0	69.0	365.0	0
35	2.0	4.0	71.0	412.0	0
36	7.0	17.0	73.0	536.0	0
37	3.0	6.0	75.0	676.0	0
38	2.0	6.0	77.0	690.0	0
39	4.0	9.0	79.0	949.0	0
40	9.0	24.0	81.0	1132.0	0
41	8.0	22.0	83.0	1300.0	0
42	9.0	23.0	85.0	1515.0	0
43	17.0	48.0	87.0	1837.0	0
44	25.0	55.0	89.0	2083.0	0
45	21.0	59.0	91.0	2304.0	0
46	24.0	60.0	93.0	2603.0	0
47	19.0	58.0	95.0	2828.0	0
48	21.0	42.0	97.0	2889.0	0
49	22.0	69.0	99.0	3257.0	0
50	23.0	78.0	101.0	3208.0	0
51	27.0	83.0	103.0	3268.0	0
52	25.0	77.0	105.0	3210.0	0
53	20.0	62.0	107.0	3110.0	0
54	19.0	51.0	109.0	3022.0	0
55	24.0	68.0	111.0	2706.0	0
56	21.0	71.0	113.0	2486.0	0
57	20.0	67.0	115.0	2187.0	0
58	10.0	31.0	117.0	2030.0	0
59	19.0	60.0	119.0	1682.0	0
60	12.0	55.0	121.0	1482.0	0
61	12.0	42.0	123.0	1312.0	0
62	7.0	30.0	125.0	1122.0	0
63	8.0	24.0	127.0	909.0	0
64	11.0	52.0	129.0	783.0	0
65	4.0	22.0	131.0	666.0	0
66	5.0	22.0	133.0	591.0	0
67	7.0	35.0	135.0	474.0	0
68	2.0	15.0	137.0	414.0	0
69	1.0	0.0	139.0	329.0	0
70	3.0	10.0	141.0	252.0	0
71	3.0	16.0	143.0	252.0	0
72	2.0	11.0	145.0	191.0	0
73	4.0	17.0	147.0	176.0	0
76	1.0	0.0	153.0	81.0	0
77	1.0	0.0	155.0	77.0	0
79	1.0	0.0	159.0	43.0	0
80	1.0	0.0	161.0	33.0	0
81	1.0	0.0	163.0	35.0	0
