window	n	s	window_end	n_recovered_in_win	clade
6	30.0	5.0	38.0	49.0	0
7	30.0	13.0	44.0	88.0	0
8	30.0	19.0	50.0	159.0	0
9	30.0	31.0	56.0	292.0	0
10	30.0	31.0	62.0	463.0	0
11	30.0	40.0	68.0	809.0	0
12	30.0	43.0	74.0	1448.0	0
13	30.0	51.0	80.0	2549.0	0
14	30.0	61.0	86.0	4259.0	0
15	30.0	68.0	92.0	6656.0	0
16	30.0	82.0	98.0	8659.0	0
17	30.0	59.0	104.0	9745.0	0
18	30.0	85.0	110.0	9113.0	0
19	30.0	106.0	116.0	7029.0	0
20	30.0	106.0	122.0	4786.0	0
21	30.0	116.0	128.0	3074.0	0
22	30.0	125.0	134.0	1907.0	0
23	30.0	116.0	140.0	1097.0	0
24	30.0	106.0	146.0	648.0	0
25	30.0	122.0	152.0	384.0	0
26	30.0	118.0	158.0	203.0	0
27	30.0	102.0	164.0	102.0	0
28	30.0	90.0	170.0	58.0	0
