	t	genotype	recovered_window
0	31.1	0.0	32.0
1	29.8	0.0	32.0
2	32.0	0.0	32.0
3	31.5	0.0	32.0
4	30.8	0.0	32.0
5	30.7	4.0	32.0
6	29.3	0.0	32.0
7	30.7	0.0	32.0
8	30.4	0.0	32.0
9	31.1	0.0	32.0
10	28.9	0.0	32.0
11	30.8	0.0	32.0
12	30.9	0.0	32.0
13	28.4	0.0	32.0
14	28.4	0.0	32.0
15	28.4	0.0	32.0
16	31.5	8.0	32.0
17	28.4	0.0	32.0
18	29.6	0.0	32.0
19	30.6	0.0	32.0
0	33.4	0.0	36.0
1	35.7	0.0	36.0
2	35.8	0.0	36.0
3	32.4	4.0	36.0
4	32.1	4.0	36.0
5	33.9	0.0	36.0
6	33.8	0.0	36.0
7	33.1	4.0	36.0
8	34.9	0.0	36.0
9	33.3	0.0	36.0
10	34.8	0.0	36.0
11	32.6	0.0	36.0
12	33.5	0.0	36.0
13	33.8	5.0	36.0
14	32.5	0.0	36.0
15	32.4	4.0	36.0
16	34.0	13.0	36.0
17	35.7	0.0	36.0
18	32.7	12.0	36.0
19	35.9	0.0	36.0
0	38.7	0.0	40.0
1	40.0	11.0	40.0
2	37.9	0.0	40.0
3	38.5	16.0	40.0
4	38.2	14.0	40.0
5	39.4	10.0	40.0
6	39.6	0.0	40.0
7	39.5	0.0	40.0
8	37.1	0.0	40.0
9	38.1	4.0	40.0
10	39.2	10.0	40.0
11	38.5	15.0	40.0
12	36.8	0.0	40.0
13	37.2	4.0	40.0
14	38.1	17.0	40.0
15	39.4	4.0	40.0
16	37.7	5.0	40.0
17	39.2	15.0	40.0
18	38.4	11.0	40.0
19	37.6	0.0	40.0
0	42.4	0.0	44.0
1	41.6	0.0	44.0
2	43.8	16.0	44.0
3	43.7	32.0	44.0
4	42.4	31.0	44.0
5	43.6	38.0	44.0
6	40.4	5.0	44.0
7	41.7	15.0	44.0
8	41.1	16.0	44.0
9	42.5	22.0	44.0
10	41.1	0.0	44.0
11	40.5	0.0	44.0
12	43.2	16.0	44.0
13	43.2	26.0	44.0
14	43.5	14.0	44.0
15	40.5	0.0	44.0
16	40.2	10.0	44.0
17	43.9	0.0	44.0
18	41.4	5.0	44.0
19	40.4	0.0	44.0
0	47.9	0.0	48.0
1	46.3	16.0	48.0
2	46.4	15.0	48.0
3	45.1	23.0	48.0
4	45.5	46.0	48.0
5	45.3	51.0	48.0
6	48.0	11.0	48.0
7	46.1	15.0	48.0
8	46.1	22.0	48.0
9	47.2	26.0	48.0
10	46.7	0.0	48.0
11	44.1	14.0	48.0
12	46.4	58.0	48.0
13	48.0	26.0	48.0
14	46.4	27.0	48.0
15	46.2	16.0	48.0
16	47.8	22.0	48.0
17	46.3	4.0	48.0
18	44.5	0.0	48.0
19	45.8	36.0	48.0
0	50.9	0.0	52.0
1	49.9	4.0	52.0
2	51.8	118.0	52.0
3	48.2	14.0	52.0
4	51.9	69.0	52.0
5	49.0	0.0	52.0
6	50.2	0.0	52.0
7	50.0	22.0	52.0
8	48.5	26.0	52.0
9	51.5	74.0	52.0
10	49.4	15.0	52.0
11	50.6	61.0	52.0
12	48.5	16.0	52.0
13	50.6	69.0	52.0
14	48.5	0.0	52.0
15	51.5	113.0	52.0
16	51.4	91.0	52.0
17	48.5	4.0	52.0
18	50.1	15.0	52.0
19	50.9	0.0	52.0
0	53.5	73.0	56.0
1	54.4	0.0	56.0
2	55.1	56.0	56.0
3	55.9	15.0	56.0
4	54.3	16.0	56.0
5	53.2	16.0	56.0
6	54.6	26.0	56.0
7	52.8	86.0	56.0
8	55.4	84.0	56.0
9	55.5	114.0	56.0
10	52.5	22.0	56.0
11	53.7	62.0	56.0
12	54.1	110.0	56.0
13	56.0	57.0	56.0
14	54.2	16.0	56.0
15	53.4	87.0	56.0
16	54.0	4.0	56.0
17	54.3	53.0	56.0
18	53.7	0.0	56.0
19	55.5	23.0	56.0
0	57.6	0.0	60.0
1	56.7	22.0	60.0
2	56.1	26.0	60.0
3	57.7	73.0	60.0
4	56.5	69.0	60.0
5	58.0	111.0	60.0
6	59.5	189.0	60.0
7	58.9	66.0	60.0
8	57.8	15.0	60.0
9	57.3	14.0	60.0
10	56.7	150.0	60.0
11	57.5	123.0	60.0
12	59.1	4.0	60.0
13	58.8	0.0	60.0
14	58.0	133.0	60.0
15	58.8	4.0	60.0
16	58.9	104.0	60.0
17	59.3	60.0	60.0
18	57.4	71.0	60.0
19	57.0	106.0	60.0
0	63.9	201.0	64.0
1	62.0	89.0	64.0
2	62.5	127.0	64.0
3	60.8	213.0	64.0
4	63.5	16.0	64.0
5	60.7	23.0	64.0
6	61.3	0.0	64.0
7	60.6	108.0	64.0
8	62.9	15.0	64.0
9	62.3	16.0	64.0
10	64.0	0.0	64.0
11	60.4	67.0	64.0
12	62.4	253.0	64.0
13	60.5	14.0	64.0
14	63.1	188.0	64.0
15	60.7	0.0	64.0
16	62.4	16.0	64.0
17	60.7	155.0	64.0
18	63.2	56.0	64.0
19	60.3	87.0	64.0
0	67.4	59.0	68.0
1	66.2	14.0	68.0
2	67.1	172.0	68.0
3	67.7	16.0	68.0
4	66.7	323.0	68.0
5	66.4	66.0	68.0
6	68.0	59.0	68.0
7	65.0	303.0	68.0
8	66.9	178.0	68.0
9	67.4	294.0	68.0
10	66.0	231.0	68.0
11	64.1	299.0	68.0
12	66.5	273.0	68.0
13	65.7	307.0	68.0
14	66.5	59.0	68.0
15	66.4	14.0	68.0
16	66.1	133.0	68.0
17	65.0	23.0	68.0
18	66.7	162.0	68.0
19	64.2	134.0	68.0
0	71.6	590.0	72.0
1	69.9	0.0	72.0
2	70.9	113.0	72.0
3	72.0	4.0	72.0
4	70.4	304.0	72.0
5	72.0	119.0	72.0
6	68.7	119.0	72.0
7	69.8	89.0	72.0
8	70.0	36.0	72.0
9	69.2	492.0	72.0
10	71.0	345.0	72.0
11	68.5	346.0	72.0
12	71.2	16.0	72.0
13	70.1	508.0	72.0
14	71.2	298.0	72.0
15	70.7	26.0	72.0
16	69.5	328.0	72.0
17	70.0	541.0	72.0
18	68.7	4.0	72.0
19	68.4	324.0	72.0
0	75.5	69.0	76.0
1	74.1	605.0	76.0
2	73.3	738.0	76.0
3	72.8	551.0	76.0
4	72.1	101.0	76.0
5	75.6	960.0	76.0
6	74.8	836.0	76.0
7	72.6	89.0	76.0
8	74.2	439.0	76.0
9	76.0	0.0	76.0
10	75.8	236.0	76.0
11	72.7	36.0	76.0
12	74.8	868.0	76.0
13	72.8	4.0	76.0
14	72.3	482.0	76.0
15	75.2	538.0	76.0
16	74.6	603.0	76.0
17	75.4	23.0	76.0
18	75.8	0.0	76.0
19	73.7	59.0	76.0
0	79.6	537.0	80.0
1	78.7	149.0	80.0
2	77.8	66.0	80.0
3	79.6	60.0	80.0
4	79.9	903.0	80.0
5	76.3	542.0	80.0
6	77.1	66.0	80.0
7	78.8	0.0	80.0
8	77.5	16.0	80.0
9	78.7	15.0	80.0
10	79.6	1088.0	80.0
11	77.9	476.0	80.0
12	77.3	987.0	80.0
13	78.8	23.0	80.0
14	79.1	230.0	80.0
15	78.6	23.0	80.0
16	79.5	1061.0	80.0
17	77.2	525.0	80.0
18	78.6	16.0	80.0
19	78.1	0.0	80.0
0	81.8	1570.0	84.0
1	81.3	0.0	84.0
2	80.8	172.0	84.0
3	80.4	9.0	84.0
4	83.0	672.0	84.0
5	83.2	0.0	84.0
6	80.4	1268.0	84.0
7	80.8	1018.0	84.0
8	83.4	268.0	84.0
9	80.7	59.0	84.0
10	83.5	918.0	84.0
11	81.2	335.0	84.0
12	83.7	26.0	84.0
13	81.1	325.0	84.0
14	81.1	1108.0	84.0
15	82.3	1045.0	84.0
16	81.0	57.0	84.0
17	82.5	299.0	84.0
18	83.2	196.0	84.0
19	81.9	1266.0	84.0
0	87.1	36.0	88.0
1	87.3	16.0	88.0
2	84.6	947.0	88.0
3	87.9	26.0	88.0
4	85.4	801.0	88.0
5	87.7	448.0	88.0
6	84.9	1531.0	88.0
7	86.1	782.0	88.0
8	87.0	620.0	88.0
9	86.2	1695.0	88.0
10	86.9	708.0	88.0
11	87.7	2069.0	88.0
12	87.6	4.0	88.0
13	87.0	1040.0	88.0
14	87.8	1558.0	88.0
15	87.9	0.0	88.0
16	87.5	1114.0	88.0
17	84.6	1821.0	88.0
18	86.5	268.0	88.0
19	87.5	39.0	88.0
0	88.3	9.0	92.0
1	90.9	89.0	92.0
2	89.0	2932.0	92.0
3	88.3	1058.0	92.0
4	89.4	386.0	92.0
5	90.8	644.0	92.0
6	88.3	23.0	92.0
7	90.0	3475.0	92.0
8	88.2	205.0	92.0
9	88.9	142.0	92.0
10	91.7	0.0	92.0
11	91.0	1325.0	92.0
12	89.8	2596.0	92.0
13	88.2	2680.0	92.0
14	89.4	1179.0	92.0
15	91.4	2502.0	92.0
16	88.5	2595.0	92.0
17	88.9	2075.0	92.0
18	90.3	2583.0	92.0
19	90.6	142.0	92.0
0	94.1	2449.0	96.0
1	92.5	1690.0	96.0
2	93.0	1535.0	96.0
3	93.6	4.0	96.0
4	95.4	3289.0	96.0
5	94.0	570.0	96.0
6	92.2	782.0	96.0
7	93.9	0.0	96.0
8	92.7	325.0	96.0
9	93.5	4384.0	96.0
10	93.2	480.0	96.0
11	94.8	193.0	96.0
12	92.8	1572.0	96.0
13	94.2	3807.0	96.0
14	92.5	1505.0	96.0
15	94.9	4791.0	96.0
16	92.8	2662.0	96.0
