window	n	s	window_end	n_recovered_in_win	clade
7	20.0	3.0	32.0	25.0	0
8	20.0	5.0	36.0	34.0	0
9	20.0	7.0	40.0	42.0	0
10	20.0	12.0	44.0	61.0	0
11	20.0	15.0	48.0	97.0	0
12	20.0	15.0	52.0	143.0	0
13	20.0	19.0	56.0	211.0	0
14	20.0	32.0	60.0	271.0	0
15	20.0	24.0	64.0	387.0	0
16	20.0	31.0	68.0	614.0	0
17	20.0	30.0	72.0	829.0	0
18	20.0	33.0	76.0	1324.0	0
19	20.0	39.0	80.0	1844.0	0
20	20.0	40.0	84.0	2633.0	0
21	20.0	43.0	88.0	3596.0	0
22	20.0	58.0	92.0	4686.0	0
23	20.0	48.0	96.0	5595.0	0
24	20.0	56.0	100.0	6268.0	0
25	20.0	57.0	104.0	6541.0	0
26	20.0	71.0	108.0	6207.0	0
27	20.0	52.0	112.0	5489.0	0
28	20.0	79.0	116.0	4446.0	0
29	20.0	73.0	120.0	3383.0	0
30	20.0	66.0	124.0	2641.0	0
31	20.0	77.0	128.0	1836.0	0
32	20.0	83.0	132.0	1374.0	0
33	20.0	90.0	136.0	969.0	0
34	20.0	98.0	140.0	661.0	0
35	20.0	86.0	144.0	469.0	0
36	20.0	78.0	148.0	355.0	0
37	20.0	88.0	152.0	208.0	0
38	20.0	81.0	156.0	143.0	0
39	20.0	93.0	160.0	90.0	0
40	20.0	73.0	164.0	72.0	0
41	20.0	79.0	168.0	43.0	0
42	20.0	48.0	172.0	21.0	0
