	t	genotype	recovered_window
0	30.8	0.0	32.0
1	30.8	0.0	32.0
2	28.4	0.0	32.0
3	30.7	4.0	32.0
4	29.3	0.0	32.0
5	28.9	0.0	32.0
6	29.3	0.0	32.0
7	31.5	8.0	32.0
8	32.0	0.0	32.0
9	28.4	0.0	32.0
10	30.6	0.0	32.0
11	29.8	0.0	32.0
12	30.7	0.0	32.0
13	31.1	0.0	32.0
14	30.9	0.0	32.0
15	28.9	7.0	32.0
16	28.4	0.0	32.0
17	31.5	0.0	32.0
18	28.4	0.0	32.0
19	29.6	0.0	32.0
0	34.0	13.0	36.0
1	32.6	0.0	36.0
2	33.8	0.0	36.0
3	32.4	4.0	36.0
4	32.5	0.0	36.0
5	32.7	0.0	36.0
6	34.4	0.0	36.0
7	33.4	0.0	36.0
8	35.0	0.0	36.0
9	33.9	6.0	36.0
10	32.3	0.0	36.0
11	35.9	0.0	36.0
12	32.8	0.0	36.0
13	35.7	0.0	36.0
14	32.7	12.0	36.0
15	32.4	4.0	36.0
16	34.1	0.0	36.0
17	33.2	0.0	36.0
18	32.6	0.0	36.0
19	35.8	0.0	36.0
0	39.2	10.0	40.0
1	38.1	17.0	40.0
2	37.9	0.0	40.0
3	37.1	0.0	40.0
4	38.5	15.0	40.0
5	39.2	15.0	40.0
6	40.0	11.0	40.0
7	37.7	0.0	40.0
8	39.4	0.0	40.0
9	39.4	10.0	40.0
10	38.5	16.0	40.0
11	37.2	4.0	40.0
12	37.3	0.0	40.0
13	38.4	11.0	40.0
14	38.8	5.0	40.0
15	39.0	0.0	40.0
16	39.5	16.0	40.0
17	39.0	17.0	40.0
18	36.9	0.0	40.0
19	38.8	16.0	40.0
0	41.9	28.0	44.0
1	41.8	4.0	44.0
2	42.3	0.0	44.0
3	41.5	0.0	44.0
4	42.3	29.0	44.0
5	42.8	14.0	44.0
6	40.4	0.0	44.0
7	43.8	26.0	44.0
8	42.7	21.0	44.0
9	41.6	0.0	44.0
10	41.1	16.0	44.0
