n_iter	R0	llh
0.0	1.0	-384.6508674938172
0.0	1.05	-124.96937780810492
0.0	1.1	-163.59986676256318
0.0	1.1500000000000001	-114.00927157418944
0.0	1.2000000000000002	-82.15320778653975
0.0	1.2500000000000002	-90.58491099131913
0.0	1.3000000000000003	-79.92331038247967
0.0	1.3500000000000003	-78.78548421480836
0.0	1.4000000000000004	-79.12754943918523
0.0	1.4500000000000004	-77.96251023706056
0.0	1.5000000000000004	-79.08030037611934
0.0	1.5500000000000005	-77.1610460075812
0.0	1.6000000000000005	-77.03802136505621
0.0	1.6500000000000006	-78.10838251038824
0.0	1.7000000000000006	-78.1129983693338
0.0	1.7500000000000007	-77.89929837608963
0.0	1.8000000000000007	-79.03963874980232
0.0	1.8500000000000008	-78.96863410253127
0.0	1.9000000000000008	-82.73066503575915
0.0	1.9500000000000008	-83.84208680678901
0.0	2.000000000000001	-83.62011170079855
0.0	2.0500000000000007	-87.52650982507362
0.0	2.100000000000001	-99.72662460244929
0.0	2.1500000000000012	-89.86485078128402
0.0	2.200000000000001	-87.02291756028389
0.0	2.250000000000001	-inf
0.0	2.300000000000001	-118.19308380617305
0.0	2.3500000000000014	-inf
0.0	2.4000000000000012	-inf
0.0	2.450000000000001	-inf
0.0	2.5000000000000013	-inf
