n_iter	R0	llh
0.0	1.43	-78.6391986560622
0.0	1.44	-77.88276805636447
0.0	1.45	-78.31609992458712
0.0	1.46	-78.97681042557406
0.0	1.47	-78.09058404479605
0.0	1.48	-78.72800440526026
0.0	1.49	-79.17992894627287
0.0	1.5	-79.30211492953556
0.0	1.51	-78.1841847456031
0.0	1.52	-78.01456390416979
0.0	1.53	-77.33642409273894
0.0	1.54	-77.9760413137916
0.0	1.55	-77.7020759082256
0.0	1.56	-77.39518106928621
0.0	1.57	-77.14046397613318
0.0	1.58	-77.86900229676536
0.0	1.59	-77.01771468979507
0.0	1.6	-78.58749302785513
0.0	1.61	-77.82643686133184
0.0	1.62	-77.65131620326576
0.0	1.6300000000000001	-77.37864383634098
0.0	1.6400000000000001	-77.93529459235087
0.0	1.6500000000000001	-77.70205964741778
0.0	1.6600000000000001	-77.38712500713157
0.0	1.6700000000000002	-78.03617270937819
0.0	1.6800000000000002	-77.80720862250185
0.0	1.6900000000000002	-77.18137036270339
0.0	1.7000000000000002	-77.29310185258645
0.0	1.7100000000000002	-78.64030067192819
0.0	1.7200000000000002	-77.85772544571621
0.0	1.7300000000000002	-78.28376858665669
0.0	1.7400000000000002	-78.63414073119533
0.0	1.7500000000000002	-78.56561228267212
0.0	1.7600000000000002	-77.92872189164852
0.0	1.7700000000000002	-78.79149475963912
0.0	1.7800000000000002	-80.58379511870429
0.0	1.7900000000000003	-78.6010045154996
0.0	1.8000000000000003	-79.15003430220808
1.0	1.43	-77.20265529734452
1.0	1.44	-78.79468568013853
1.0	1.45	-77.77235728301147
1.0	1.46	-78.72772595720812
1.0	1.47	-77.76427049365262
1.0	1.48	-77.32938740206936
1.0	1.49	-77.89386993078668
1.0	1.5	-76.61224417669554
1.0	1.51	-78.26743922827589
1.0	1.52	-77.44255616060626
1.0	1.53	-77.36084463022168
1.0	1.54	-78.30261036588182
1.0	1.55	-77.91572908197078
1.0	1.56	-77.25063446147797
1.0	1.57	-77.12381070837768
1.0	1.58	-77.39059576466624
1.0	1.59	-76.91158547748233
1.0	1.6	-77.86187383536
1.0	1.61	-78.67741134269859
1.0	1.62	-77.98879209106325
1.0	1.6300000000000001	-78.70333602101745
1.0	1.6400000000000001	-79.01794406103014
1.0	1.6500000000000001	-77.75772427571877
1.0	1.6600000000000001	-78.38649496141386
1.0	1.6700000000000002	-77.95510509106084
1.0	1.6800000000000002	-77.57148598440223
1.0	1.6900000000000002	-78.12880130276079
1.0	1.7000000000000002	-78.08810708661738
1.0	1.7100000000000002	-77.24935011519024
1.0	1.7200000000000002	-78.86859584649963
1.0	1.7300000000000002	-78.98869687981798
1.0	1.7400000000000002	-77.62448027062621
1.0	1.7500000000000002	-78.92871755011436
1.0	1.7600000000000002	-78.01378039513472
1.0	1.7700000000000002	-79.79775140091787
1.0	1.7800000000000002	-81.07855348753303
1.0	1.7900000000000003	-78.99552198883666
1.0	1.8000000000000003	-80.5780284542918
2.0	1.43	-78.01236407858842
2.0	1.44	-78.56539555648872
2.0	1.45	-78.0164625024914
2.0	1.46	-77.91749338219513
2.0	1.47	-76.76919111914722
2.0	1.48	-77.81493142817482
2.0	1.49	-78.80351353535083
2.0	1.5	-78.09995599250573
2.0	1.51	-78.31796021320511
2.0	1.52	-77.20799028313722
2.0	1.53	-78.6992430277726
2.0	1.54	-78.6868817581122
2.0	1.55	-77.24605858312927
2.0	1.56	-77.15610175959492
2.0	1.57	-76.83697728396878
2.0	1.58	-77.4050474311087
2.0	1.59	-78.01306296648139
2.0	1.6	-77.42248317930822
2.0	1.61	-77.2900525280475
2.0	1.62	-77.1390819564564
2.0	1.6300000000000001	-77.93940644799598
2.0	1.6400000000000001	-78.07407945972751
2.0	1.6500000000000001	-77.49761540527237
2.0	1.6600000000000001	-77.54215277852143
2.0	1.6700000000000002	-77.55442089725936
2.0	1.6800000000000002	-78.33819504558531
2.0	1.6900000000000002	-77.45046240430469
2.0	1.7000000000000002	-77.57214827330496
2.0	1.7100000000000002	-78.90337138319806
2.0	1.7200000000000002	-77.69889193530996
2.0	1.7300000000000002	-78.52805181966505
