	t	genotype	recovered_window
0	26.8	0.0	28.0
1	24.9	0.0	28.0
2	27.4	0.0	28.0
3	24.3	0.0	28.0
4	27.4	0.0	28.0
5	25.3	0.0	28.0
6	25.9	0.0	28.0
7	24.3	22.0	28.0
8	27.0	0.0	28.0
9	27.4	24.0	28.0
10	24.3	0.0	28.0
11	26.4	0.0	28.0
12	25.5	14.0	28.0
13	26.7	0.0	28.0
14	28.0	0.0	28.0
15	24.6	23.0	28.0
16	25.6	24.0	28.0
17	26.8	10.0	28.0
18	27.3	19.0	28.0
19	27.3	19.0	28.0
20	24.9	0.0	28.0
21	26.9	0.0	28.0
22	27.7	19.0	28.0
23	27.6	0.0	28.0
24	25.9	0.0	28.0
25	26.6	25.0	28.0
26	28.0	0.0	28.0
27	24.6	0.0	28.0
28	27.6	27.0	28.0
29	26.4	18.0	28.0
30	27.2	0.0	28.0
31	27.7	0.0	28.0
32	25.6	12.0	28.0
33	26.6	0.0	28.0
34	25.3	0.0	28.0
35	24.4	0.0	28.0
36	27.4	0.0	28.0
37	26.1	30.0	28.0
38	28.0	0.0	28.0
39	25.4	19.0	28.0
0	31.4	0.0	32.0
1	31.2	0.0	32.0
2	28.1	19.0	32.0
3	30.8	0.0	32.0
4	28.8	0.0	32.0
5	29.6	0.0	32.0
6	30.5	56.0	32.0
7	30.7	24.0	32.0
8	29.5	0.0	32.0
9	28.4	24.0	32.0
10	30.5	0.0	32.0
11	31.9	38.0	32.0
12	29.7	0.0	32.0
13	29.4	0.0	32.0
14	31.2	26.0	32.0
15	31.4	44.0	32.0
16	28.5	0.0	32.0
17	29.7	0.0	32.0
18	28.1	33.0	32.0
19	31.3	0.0	32.0
20	31.1	0.0	32.0
21	31.3	31.0	32.0
22	29.6	53.0	32.0
23	29.3	19.0	32.0
24	29.7	0.0	32.0
25	29.8	0.0	32.0
26	30.9	0.0	32.0
27	31.4	0.0	32.0
28	29.3	17.0	32.0
29	31.3	0.0	32.0
30	28.9	40.0	32.0
31	29.5	0.0	32.0
32	30.7	0.0	32.0
33	29.8	24.0	32.0
34	30.1	0.0	32.0
35	31.5	0.0	32.0
36	30.4	0.0	32.0
37	30.5	0.0	32.0
38	29.9	0.0	32.0
39	29.1	28.0	32.0
0	36.0	84.0	36.0
1	33.6	24.0	36.0
2	34.7	0.0	36.0
3	33.3	19.0	36.0
4	35.6	0.0	36.0
5	35.4	0.0	36.0
6	35.6	75.0	36.0
7	34.8	0.0	36.0
8	33.7	24.0	36.0
9	34.9	0.0	36.0
10	33.7	0.0	36.0
11	35.2	76.0	36.0
12	34.9	57.0	36.0
13	35.6	86.0	36.0
14	32.5	0.0	36.0
15	36.0	0.0	36.0
16	34.4	24.0	36.0
17	34.0	24.0	36.0
18	35.9	63.0	36.0
19	34.2	0.0	36.0
20	35.9	71.0	36.0
21	34.8	51.0	36.0
22	34.3	0.0	36.0
23	33.7	0.0	36.0
24	35.4	0.0	36.0
25	33.3	69.0	36.0
26	35.2	57.0	36.0
27	34.3	68.0	36.0
28	34.2	0.0	36.0
29	32.2	55.0	36.0
30	35.2	24.0	36.0
31	34.9	0.0	36.0
32	35.7	19.0	36.0
33	32.4	24.0	36.0
34	32.3	0.0	36.0
35	35.5	81.0	36.0
36	32.4	0.0	36.0
37	35.2	0.0	36.0
38	35.5	0.0	36.0
39	35.8	0.0	36.0
0	37.7	85.0	40.0
1	37.5	24.0	40.0
2	36.7	0.0	40.0
3	38.4	54.0	40.0
4	40.0	0.0	40.0
5	36.3	0.0	40.0
6	37.2	57.0	40.0
7	36.3	55.0	40.0
8	36.8	89.0	40.0
9	37.5	0.0	40.0
10	38.5	39.0	40.0
11	39.2	0.0	40.0
12	38.5	81.0	40.0
13	36.5	0.0	40.0
14	37.5	81.0	40.0
15	36.5	24.0	40.0
16	39.5	94.0	40.0
17	39.4	95.0	40.0
18	38.5	81.0	40.0
