n_iter	R0	log10eta	llh
0.0	1.0	-8.0	-inf
0.0	1.0	-7.8	-inf
0.0	1.0	-7.6	-inf
0.0	1.0	-7.3999999999999995	-inf
0.0	1.0	-7.199999999999999	-inf
0.0	1.0	-6.999999999999999	-inf
0.0	1.0	-6.799999999999999	-inf
0.0	1.0	-6.599999999999999	-inf
0.0	1.0	-6.399999999999999	-inf
0.0	1.0	-6.199999999999998	-inf
0.0	1.0	-5.999999999999998	-inf
0.0	1.0	-5.799999999999998	-inf
0.0	1.0	-5.599999999999998	-inf
0.0	1.0	-5.399999999999998	-inf
0.0	1.0	-5.1999999999999975	-65.59613386040655
0.0	1.0	-4.999999999999997	-71.64553483064157
0.0	1.0	-4.799999999999997	-56.816440118117896
0.0	1.0	-4.599999999999997	-73.51075571771584
0.0	1.0	-4.399999999999997	-69.46640500338759
0.0	1.0	-4.199999999999997	-81.99373602203413
0.0	1.0	-3.9999999999999964	-74.22350365736247
0.0	1.0	-3.7999999999999963	-82.86485463219287
0.0	1.0	-3.599999999999996	-85.42506507341953
0.0	1.0	-3.399999999999996	-90.06771172305773
0.0	1.0	-3.1999999999999957	-91.94783981635474
0.0	1.0	-2.9999999999999956	-89.96591096222468
0.0	1.0	-2.7999999999999954	-97.89529001922114
0.0	1.0	-2.599999999999995	-98.04060881491077
0.0	1.0	-2.399999999999995	-98.0721479187794
0.0	1.0	-2.199999999999995	-100.42056418333546
0.0	1.0	-1.9999999999999947	-102.57875125763962
0.0	1.2	-8.0	-inf
0.0	1.2	-7.8	-inf
0.0	1.2	-7.6	-inf
0.0	1.2	-7.3999999999999995	-83.54375930121986
0.0	1.2	-7.199999999999999	-62.280613159377424
0.0	1.2	-6.999999999999999	-inf
0.0	1.2	-6.799999999999999	-inf
0.0	1.2	-6.599999999999999	-inf
0.0	1.2	-6.399999999999999	-inf
0.0	1.2	-6.199999999999998	-86.978978897888
0.0	1.2	-5.999999999999998	-inf
0.0	1.2	-5.799999999999998	-98.70785904107917
0.0	1.2	-5.599999999999998	-67.03933615585967
0.0	1.2	-5.399999999999998	-75.00476470024316
0.0	1.2	-5.1999999999999975	-48.491767522919915
0.0	1.2	-4.999999999999997	-81.78709326939705
0.0	1.2	-4.799999999999997	-73.09929412475618
0.0	1.2	-4.599999999999997	-53.95771516218812
0.0	1.2	-4.399999999999997	-61.91329822192988
0.0	1.2	-4.199999999999997	-65.18181080618598
0.0	1.2	-3.9999999999999964	-70.50580160008725
0.0	1.2	-3.7999999999999963	-69.55783405829416
0.0	1.2	-3.599999999999996	-70.9873800077569
0.0	1.2	-3.399999999999996	-67.27354961861144
