t_before	s_before	e_before	i_before	r_before	seg_before	t_after	s_after	e_after	i_after	r_after	seg_after	selected
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99993.0	4.0	2.0	1.0	nan	V
18.0	99998.0	0.0	2.0	0.0	nan	22.0	99987.0	4.0	8.0	1.0	nan	V
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99997.0	1.0	1.0	1.0	nan	X
18.0	99998.0	1.0	0.0	1.0	nan	22.0	99998.0	0.0	0.0	2.0	nan	X
18.0	99997.0	2.0	0.0	1.0	nan	22.0	99995.0	3.0	1.0	1.0	nan	V
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99997.0	1.0	0.0	2.0	nan	V
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99999.0	0.0	0.0	1.0	nan	X
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99996.0	1.0	0.0	3.0	nan	V
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99999.0	0.0	0.0	1.0	nan	X
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99999.0	0.0	0.0	1.0	nan	X
18.0	99997.0	1.0	2.0	0.0	nan	22.0	99993.0	2.0	2.0	3.0	nan	V
18.0	99992.0	5.0	2.0	1.0	nan	22.0	99981.0	7.0	4.0	8.0	nan	V
18.0	99995.0	2.0	1.0	2.0	nan	22.0	99995.0	0.0	1.0	4.0	nan	V
18.0	99995.0	3.0	2.0	0.0	nan	22.0	99987.0	4.0	3.0	6.0	nan	V
18.0	99997.0	1.0	1.0	1.0	nan	22.0	99989.0	5.0	2.0	4.0	nan	X
18.0	99997.0	1.0	2.0	0.0	nan	22.0	99988.0	4.0	5.0	3.0	nan	V
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99997.0	1.0	0.0	2.0	nan	V
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99998.0	0.0	1.0	1.0	nan	X
18.0	99998.0	1.0	0.0	1.0	nan	22.0	99997.0	1.0	0.0	2.0	nan	V
18.0	99997.0	1.0	1.0	1.0	nan	22.0	99992.0	2.0	1.0	5.0	nan	V
18.0	99997.0	2.0	1.0	0.0	nan	22.0	99994.0	2.0	2.0	2.0	nan	V
18.0	99998.0	0.0	1.0	1.0	nan	22.0	99998.0	0.0	1.0	1.0	nan	X
18.0	99997.0	0.0	1.0	2.0	nan	22.0	99997.0	0.0	0.0	3.0	nan	X
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99992.0	3.0	3.0	2.0	nan	V
18.0	99996.0	3.0	1.0	0.0	nan	22.0	99988.0	5.0	6.0	1.0	nan	V
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99996.0	1.0	1.0	2.0	nan	V
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99997.0	1.0	1.0	1.0	nan	V
18.0	99997.0	1.0	2.0	0.0	nan	22.0	99991.0	3.0	3.0	3.0	nan	X
18.0	99998.0	0.0	2.0	0.0	nan	22.0	99997.0	1.0	0.0	2.0	nan	V
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99988.0	4.0	6.0	2.0	nan	V
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99996.0	2.0	0.0	2.0	nan	X
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99999.0	0.0	0.0	1.0	nan	X
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99997.0	1.0	1.0	1.0	nan	V
18.0	99998.0	1.0	1.0	0.0	nan	22.0	99998.0	0.0	1.0	1.0	nan	V
18.0	99997.0	1.0	2.0	0.0	nan	22.0	99986.0	5.0	5.0	4.0	nan	V
18.0	99999.0	0.0	1.0	0.0	nan	22.0	99999.0	0.0	0.0	1.0	nan	X
