	t	genotype	recovered_window
0	8.7	0.0	12.0
1	9.6	0.0	12.0
2	10.2	2.0	12.0
3	9.4	0.0	12.0
4	8.7	2.0	12.0
5	8.9	20.0	12.0
6	9.0	0.0	12.0
7	9.6	24.0	12.0
8	10.9	24.0	12.0
9	11.4	0.0	12.0
10	11.5	0.0	12.0
11	12.0	0.0	12.0
12	10.9	0.0	12.0
13	9.0	0.0	12.0
14	9.9	0.0	12.0
15	10.9	17.0	12.0
16	10.8	24.0	12.0
17	8.3	4.0	12.0
18	10.8	0.0	12.0
19	10.4	24.0	12.0
20	8.1	0.0	12.0
21	10.1	0.0	12.0
22	8.3	0.0	12.0
23	9.2	8.0	12.0
24	10.4	22.0	12.0
25	9.9	0.0	12.0
26	10.0	0.0	12.0
27	11.5	24.0	12.0
28	11.5	24.0	12.0
29	9.4	2.0	12.0
30	11.5	0.0	12.0
31	9.2	0.0	12.0
32	10.5	0.0	12.0
33	10.8	0.0	12.0
34	9.1	0.0	12.0
35	9.6	0.0	12.0
36	9.2	13.0	12.0
37	9.0	0.0	12.0
38	11.3	24.0	12.0
39	9.5	2.0	12.0
0	12.7	0.0	16.0
1	15.9	0.0	16.0
2	12.2	13.0	16.0
3	14.2	25.0	16.0
4	14.2	2.0	16.0
5	12.5	24.0	16.0
6	15.0	0.0	16.0
7	13.6	24.0	16.0
8	14.3	0.0	16.0
9	15.5	0.0	16.0
10	13.7	0.0	16.0
11	14.1	0.0	16.0
12	12.7	0.0	16.0
13	13.7	24.0	16.0
14	14.9	0.0	16.0
15	14.2	0.0	16.0
16	15.6	0.0	16.0
17	15.6	0.0	16.0
18	15.2	24.0	16.0
19	14.6	40.0	16.0
20	15.4	24.0	16.0
21	13.9	24.0	16.0
22	15.8	0.0	16.0
23	13.2	0.0	16.0
24	13.7	2.0	16.0
25	14.5	49.0	16.0
26	12.8	0.0	16.0
27	12.9	0.0	16.0
28	12.2	24.0	16.0
29	14.1	16.0	16.0
30	16.0	32.0	16.0
31	14.2	0.0	16.0
32	13.9	39.0	16.0
33	12.6	0.0	16.0
34	12.6	0.0	16.0
35	12.7	27.0	16.0
36	15.9	33.0	16.0
37	13.6	24.0	16.0
38	15.5	0.0	16.0
39	14.1	0.0	16.0
0	18.0	73.0	20.0
1	19.7	0.0	20.0
2	16.4	0.0	20.0
3	18.8	0.0	20.0
4	17.5	24.0	20.0
5	17.7	0.0	20.0
6	18.0	5.0	20.0
7	18.5	26.0	20.0
8	16.8	60.0	20.0
9	16.3	26.0	20.0
10	18.8	0.0	20.0
11	18.6	0.0	20.0
12	17.3	24.0	20.0
13	19.0	44.0	20.0
14	17.4	24.0	20.0
15	17.2	26.0	20.0
16	17.3	0.0	20.0
17	17.4	55.0	20.0
18	17.4	26.0	20.0
19	19.9	26.0	20.0
20	17.3	61.0	20.0
21	19.8	26.0	20.0
22	16.4	0.0	20.0
23	17.4	0.0	20.0
24	18.7	0.0	20.0
25	18.9	24.0	20.0
26	18.4	26.0	20.0
27	19.5	24.0	20.0
28	18.1	0.0	20.0
29	16.6	0.0	20.0
30	16.1	26.0	20.0
31	19.7	51.0	20.0
32	17.0	48.0	20.0
33	16.5	0.0	20.0
34	18.8	0.0	20.0
35	16.3	0.0	20.0
36	17.8	26.0	20.0
37	16.8	0.0	20.0
38	19.0	79.0	20.0
39	16.8	0.0	20.0
0	22.5	92.0	24.0
1	23.5	0.0	24.0
2	21.4	0.0	24.0
3	20.1	0.0	24.0
4	20.6	69.0	24.0
5	20.3	0.0	24.0
6	22.4	0.0	24.0
7	22.5	26.0	24.0
8	20.4	0.0	24.0
9	23.8	30.0	24.0
10	23.7	65.0	24.0
11	23.8	37.0	24.0
12	22.8	69.0	24.0
13	22.8	51.0	24.0
14	22.8	0.0	24.0
15	22.3	0.0	24.0
