# t	S	E	I	R
0.000000000000000000e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.000000000113629994e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.000000000113573151e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
3.000000000113516307e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
4.000000000113459464e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
5.000000000113402621e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
6.000000000113345777e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
7.000000000113288934e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
8.000000000113232090e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
9.000000000113175247e-01	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.000000000011311840e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.100000000011306156e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.200000000011300472e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.300000000011294787e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.400000000011289103e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.500000000011283419e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.600000000011277734e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.700000000011272050e+00	9.999900000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
