	t	genotype	recovered_window
0	41.4	16.0	44.0
1	43.8	16.0	44.0
2	41.2	0.0	44.0
3	40.1	5.0	44.0
4	39.1	0.0	44.0
5	41.3	20.0	44.0
6	42.7	21.0	44.0
7	40.5	0.0	44.0
8	41.9	28.0	44.0
9	41.9	10.0	44.0
10	42.7	0.0	44.0
11	38.8	16.0	44.0
12	43.7	0.0	44.0
13	42.4	31.0	44.0
14	43.6	30.0	44.0
15	43.8	16.0	44.0
16	42.0	16.0	44.0
17	39.0	0.0	44.0
18	39.5	0.0	44.0
19	42.2	4.0	44.0
20	40.0	4.0	44.0
21	43.7	0.0	44.0
22	43.0	0.0	44.0
23	39.2	15.0	44.0
24	38.8	5.0	44.0
25	41.4	5.0	44.0
26	38.4	11.0	44.0
27	38.1	4.0	44.0
28	41.5	0.0	44.0
29	41.6	0.0	44.0
30	38.1	17.0	44.0
31	41.1	0.0	44.0
32	42.8	29.0	44.0
33	40.5	4.0	44.0
34	43.0	0.0	44.0
35	42.0	27.0	44.0
36	39.0	17.0	44.0
37	38.5	15.0	44.0
38	43.6	38.0	44.0
39	42.3	0.0	44.0
40	38.6	0.0	44.0
41	40.7	0.0	44.0
42	44.0	4.0	44.0
43	43.0	0.0	44.0
44	41.7	15.0	44.0
45	42.8	14.0	44.0
46	43.5	14.0	44.0
47	41.5	0.0	44.0
48	40.0	11.0	44.0
49	39.4	4.0	44.0
50	41.8	4.0	44.0
51	39.4	10.0	44.0
52	38.2	14.0	44.0
53	41.1	16.0	44.0
54	42.5	22.0	44.0
55	39.4	0.0	44.0
56	38.2	0.0	44.0
57	43.3	19.0	44.0
58	41.1	0.0	44.0
59	40.4	5.0	44.0
0	45.3	0.0	50.0
1	46.2	4.0	50.0
2	47.1	15.0	50.0
3	49.1	9.0	50.0
4	45.3	0.0	50.0
5	44.9	43.0	50.0
6	44.5	0.0	50.0
7	46.4	27.0	50.0
8	49.1	4.0	50.0
9	47.3	0.0	50.0
10	48.2	0.0	50.0
11	48.9	23.0	50.0
12	45.5	46.0	50.0
13	49.0	0.0	50.0
14	44.1	14.0	50.0
15	49.4	80.0	50.0
16	48.1	19.0	50.0
17	49.7	50.0	50.0
18	47.6	0.0	50.0
19	48.4	15.0	50.0
20	48.0	26.0	50.0
21	48.6	22.0	50.0
22	49.0	23.0	50.0
23	46.7	0.0	50.0
24	45.6	0.0	50.0
25	47.2	0.0	50.0
26	47.9	0.0	50.0
27	49.0	15.0	50.0
28	45.6	52.0	50.0
29	46.3	4.0	50.0
30	44.8	0.0	50.0
31	47.1	65.0	50.0
32	49.6	4.0	50.0
33	49.4	44.0	50.0
34	47.4	16.0	50.0
35	44.4	15.0	50.0
36	49.8	4.0	50.0
37	47.6	14.0	50.0
38	48.2	4.0	50.0
39	46.2	16.0	50.0
40	48.5	0.0	50.0
41	48.2	23.0	50.0
42	46.1	48.0	50.0
43	45.8	4.0	50.0
44	49.0	68.0	50.0
45	48.5	26.0	50.0
46	49.6	81.0	50.0
47	48.7	0.0	50.0
48	49.9	4.0	50.0
49	48.5	4.0	50.0
50	45.2	54.0	50.0
51	44.6	0.0	50.0
52	46.3	16.0	50.0
53	45.1	0.0	50.0
54	50.0	22.0	50.0
55	48.2	14.0	50.0
56	48.5	16.0	50.0
57	47.1	0.0	50.0
58	50.0	23.0	50.0
59	49.0	56.0	50.0
0	54.6	101.0	56.0
1	53.0	23.0	56.0
2	54.1	16.0	56.0
3	55.0	16.0	56.0
4	53.1	130.0	56.0
5	55.0	60.0	56.0
6	55.8	110.0	56.0
7	52.3	0.0	56.0
8	55.3	0.0	56.0
9	55.8	67.0	56.0
10	55.4	57.0	56.0
11	55.7	23.0	56.0
12	51.2	0.0	56.0
13	55.1	56.0	56.0
14	53.8	14.0	56.0
15	51.5	26.0	56.0
16	55.0	99.0	56.0
17	55.8	0.0	56.0
18	55.7	4.0	56.0
19	51.8	56.0	56.0
20	50.2	16.0	56.0
21	55.4	4.0	56.0
22	52.1	92.0	56.0
23	54.5	15.0	56.0
24	52.8	56.0	56.0
25	53.1	0.0	56.0
26	54.6	16.0	56.0
27	52.2	0.0	56.0
28	52.8	14.0	56.0
29	52.2	0.0	56.0
30	55.7	23.0	56.0
31	54.4	62.0	56.0
32	52.9	75.0	56.0
33	54.2	15.0	56.0
34	53.1	73.0	56.0
35	54.0	64.0	56.0
36	55.5	22.0	56.0
37	50.9	16.0	56.0
38	50.4	23.0	56.0
