n_iter	R0	timestart	llh
0.0	1.0	36.0	-inf
0.0	1.0	34.0	-inf
0.0	1.0	32.0	-inf
0.0	1.0	30.0	-inf
0.0	1.0	28.0	-inf
0.0	1.0	26.0	-inf
0.0	1.0	24.0	-17.54571595693946
0.0	1.0	22.0	-inf
0.0	1.0	20.0	-inf
0.0	1.0	18.0	-18.221320615287897
0.0	1.0	16.0	-16.401601288724336
0.0	1.0	14.0	-15.41961644915956
0.0	1.0	12.0	-15.46740310716632
0.0	1.0	10.0	-15.251485166682475
0.0	1.0	8.0	-15.26832144347128
0.0	1.0	6.0	-14.27064998323415
0.0	1.0	4.0	-14.820944992162303
0.0	1.0	2.0	-15.590808733870347
0.0	1.0	0.0	-15.124414111525564
0.0	1.0	-2.0	-15.275516988103504
0.0	1.0	-4.0	-14.34477871882471
0.0	1.0	-6.0	-15.001028937259845
0.0	1.0	-8.0	-15.627525107205745
0.0	1.0	-10.0	-14.45657353253107
0.0	1.0	-12.0	-14.047525613927798
0.0	1.0	-14.0	-14.271524109909434
0.0	1.0	-16.0	-14.456712675569928
0.0	1.0	-18.0	-14.181250645843775
0.0	1.0	-20.0	-14.38012879556708
0.0	1.0	-22.0	-15.064107652284278
0.0	1.0	-24.0	-13.796637323314332
0.0	1.0	-26.0	-14.89519291699241
0.0	1.0	-28.0	-14.61457543048482
0.0	1.0	-30.0	-14.69426385926312
0.0	1.0	-32.0	-14.216127966782565
0.0	1.0	-34.0	-13.77242594243273
0.0	1.0	-36.0	-13.847664832677072
0.0	1.0	-38.0	-13.721433964931892
0.0	1.0	-40.0	-14.757782768580821
0.0	1.0	-42.0	-13.945572496539132
0.0	1.0	-44.0	-15.318896286709187
0.0	1.0	-46.0	-14.528584410297452
0.0	1.0	-48.0	-14.378366958612048
0.0	1.0	-50.0	-14.649141105420311
0.0	1.2	36.0	-inf
0.0	1.2	34.0	-inf
0.0	1.2	32.0	-inf
0.0	1.2	30.0	-inf
0.0	1.2	28.0	-22.641268427727365
0.0	1.2	26.0	-16.314093869217455
0.0	1.2	24.0	-16.64735764072742
0.0	1.2	22.0	-15.113243098122
0.0	1.2	20.0	-14.914666336843327
0.0	1.2	18.0	-14.908748940860427
0.0	1.2	16.0	-14.142490248321538
0.0	1.2	14.0	-13.714357235598634
0.0	1.2	12.0	-14.331361319965861
0.0	1.2	10.0	-12.944809632702443
0.0	1.2	8.0	-13.390745286193638
0.0	1.2	6.0	-12.947326351262667
0.0	1.2	4.0	-13.378420346944075
0.0	1.2	2.0	-13.047241950484295
0.0	1.2	0.0	-12.7050405800901
0.0	1.2	-2.0	-12.895274546394575
0.0	1.2	-4.0	-13.263647801425877
0.0	1.2	-6.0	-12.92189900352348
0.0	1.2	-8.0	-12.80253267997379
0.0	1.2	-10.0	-13.27755018377243
0.0	1.2	-12.0	-12.847373266035898
0.0	1.2	-14.0	-13.20546496472086
0.0	1.2	-16.0	-13.35448890964451
0.0	1.2	-18.0	-13.38518328223188
0.0	1.2	-20.0	-12.99722230039961
0.0	1.2	-22.0	-13.24541481807665
0.0	1.2	-24.0	-13.517210332403602
0.0	1.2	-26.0	-13.721026898024093
0.0	1.2	-28.0	-13.911991760012159
0.0	1.2	-30.0	-13.77747883083617
0.0	1.2	-32.0	-14.413349334794816
0.0	1.2	-34.0	-12.956428320713647
0.0	1.2	-36.0	-14.108934112256495
0.0	1.2	-38.0	-13.898527322554877
0.0	1.2	-40.0	-14.189468615179173
0.0	1.2	-42.0	-13.998370290457363
0.0	1.2	-44.0	-13.859060633309857
0.0	1.2	-46.0	-15.968297826203163
0.0	1.2	-48.0	-14.688048440072025
0.0	1.2	-50.0	-15.557949613308294
0.0	1.4	36.0	-inf
0.0	1.4	34.0	-inf
0.0	1.4	32.0	-inf
0.0	1.4	30.0	-inf
0.0	1.4	28.0	-18.449770527437856
0.0	1.4	26.0	-15.326341406175063
0.0	1.4	24.0	-15.520874554889051
0.0	1.4	22.0	-14.644254643161608
0.0	1.4	20.0	-12.952062773675832
0.0	1.4	18.0	-13.476953230392112
0.0	1.4	16.0	-13.123052730977573
0.0	1.4	14.0	-12.482693984374674
0.0	1.4	12.0	-12.161269668166385
0.0	1.4	10.0	-12.457658793464269
0.0	1.4	8.0	-12.667895997344027
0.0	1.4	6.0	-12.319598927903787
0.0	1.4	4.0	-12.360174914503128
0.0	1.4	2.0	-12.155203065659414
0.0	1.4	0.0	-12.444821931608676
0.0	1.4	-2.0	-13.113337675158169
0.0	1.4	-4.0	-12.502981279224757
0.0	1.4	-6.0	-12.717200987073852
0.0	1.4	-8.0	-12.97499874319437
0.0	1.4	-10.0	-12.755389813910158
0.0	1.4	-12.0	-12.578754714206301
0.0	1.4	-14.0	-13.021588586867804
0.0	1.4	-16.0	-14.14285817774199
0.0	1.4	-18.0	-13.80093878162751
0.0	1.4	-20.0	-13.903028539186607
0.0	1.4	-22.0	-13.013705431767177
0.0	1.4	-24.0	-13.845714102623147
0.0	1.4	-26.0	-13.48165207683737
