R0	timestart	mean_logL	sim_no
1.0	-50.0	-14.464700130136412	20
1.0	-48.0	-14.558106809927859	20
1.0	-46.0	-14.541344147201357	20
1.0	-44.0	-14.505747530005346	20
1.0	-42.0	-14.659267062686391	20
1.0	-40.0	-14.401493119978747	20
1.0	-38.0	-14.266925793767708	20
1.0	-36.0	-14.498590594004122	20
1.0	-34.0	-14.4800850457618	20
1.0	-32.0	-14.560099904349261	20
1.0	-30.0	-14.531918513029447	20
1.0	-28.0	-14.398473092014035	20
1.0	-26.0	-14.595414011763543	20
1.0	-24.0	-14.459504529275796	20
1.0	-22.0	-14.573599650884969	20
1.0	-20.0	-14.394091325088931	20
1.0	-18.0	-14.543103333461612	20
1.0	-16.0	-14.518754542472625	20
1.0	-14.0	-14.433594219184451	20
1.0	-12.0	-14.295577248029701	20
1.0	-10.0	-14.428933303541134	20
1.0	-8.0	-14.5520804994695	20
1.0	-6.0	-14.662473059077168	20
1.0	-4.0	-14.829205310087534	20
1.0	-2.0	-14.705392211590828	20
1.0	0.0	-14.788922918493459	20
1.0	2.0	-15.052573294455067	20
1.0	4.0	-15.200533073019045	20
1.0	6.0	-15.083517790626274	20
1.0	8.0	-15.190131179642293	20
1.0	10.0	-15.712962354820196	20
1.0	12.0	-15.802531909557468	20
1.0	14.0	-16.066089906209196	20
1.0	16.0	-17.243675115249598	20
1.0	18.0	-17.733663067928603	20
1.0	20.0		20
1.0	22.0		20
1.0	24.0		20
1.0	26.0		20
1.0	28.0		20
1.0	30.0		20
1.0	32.0		20
1.0	34.0		20
1.0	36.0		20
1.1	-50.0	-14.47845649119527	20
1.1	-48.0	-14.132744715280575	20
1.1	-46.0	-14.171548662098562	20
1.1	-44.0	-14.123676446661651	20
1.1	-42.0	-14.022335008143841	20
1.1	-40.0	-13.930032998077511	20
1.1	-38.0	-13.935463355075669	20
1.1	-36.0	-13.829520215500855	20
1.1	-34.0	-13.988155930999406	20
1.1	-32.0	-13.912774042681994	20
1.1	-30.0	-13.809107307284759	20
1.1	-28.0	-13.760026511536376	20
1.1	-26.0	-13.737718992947785	20
1.1	-24.0	-13.727769494594773	20
1.1	-22.0	-13.620857494486847	20
1.1	-20.0	-13.60570531164954	20
1.1	-18.0	-13.492040879276662	20
1.1	-16.0	-13.62199106773667	20
1.1	-14.0	-13.629978584028379	20
1.1	-12.0	-13.523219623489462	20
1.1	-10.0	-13.621695710401886	20
1.1	-8.0	-13.64864956236725	20
1.1	-6.0	-13.650749030870562	20
1.1	-4.0	-13.731671202458731	20
1.1	-2.0	-13.622831379612672	20
1.1	0.0	-13.767997920581092	20
1.1	2.0	-13.699493390977272	20
1.1	4.0	-14.011517690207882	20
1.1	6.0	-13.94694090751403	20
1.1	8.0	-14.087199315859596	20
1.1	10.0	-14.126320250510977	20
1.1	12.0	-14.423635744206697	20
1.1	14.0	-14.761070395434766	20
1.1	16.0	-15.086364002443295	20
1.1	18.0	-15.642126149313148	20
1.1	20.0	-16.504852151313354	20
1.1	22.0		20
1.1	24.0		20
1.1	26.0		20
1.1	28.0		20
1.1	30.0		20
1.1	32.0		20
1.1	34.0		20
1.1	36.0		20
1.2	-50.0	-14.955122664663643	20
1.2	-48.0	-14.373896563111757	20
1.2	-46.0	-14.36465086090522	20
1.2	-44.0	-14.309037272845192	20
1.2	-42.0	-14.176135055141335	20
1.2	-40.0	-14.040463210037899	20
1.2	-38.0	-14.025652002113166	20
1.2	-36.0	-13.905981785984181	20
