	t	genotype	recovered_window
0	30.1	0.0	32.0
1	31.6	33.0	32.0
2	31.6	0.0	32.0
3	31.7	0.0	32.0
4	29.5	5.0	32.0
5	29.2	15.0	32.0
6	29.4	33.0	32.0
7	31.1	0.0	32.0
8	29.3	0.0	32.0
9	30.3	19.0	32.0
10	29.9	0.0	32.0
11	30.8	0.0	32.0
12	29.7	0.0	32.0
13	28.4	0.0	32.0
14	28.9	15.0	32.0
15	28.7	0.0	32.0
16	28.1	4.0	32.0
17	30.9	40.0	32.0
18	29.0	5.0	32.0
19	29.6	25.0	32.0
20	31.9	0.0	32.0
21	28.6	0.0	32.0
22	31.2	37.0	32.0
23	31.1	0.0	32.0
24	28.7	5.0	32.0
25	29.7	19.0	32.0
26	31.6	5.0	32.0
27	29.0	5.0	32.0
28	30.9	25.0	32.0
29	30.8	31.0	32.0
30	29.3	0.0	32.0
31	28.4	0.0	32.0
32	31.3	0.0	32.0
33	29.5	0.0	32.0
34	28.1	22.0	32.0
35	28.5	0.0	32.0
36	28.6	0.0	32.0
37	28.3	19.0	32.0
38	31.4	0.0	32.0
39	29.7	22.0	32.0
0	35.0	0.0	36.0
1	35.2	60.0	36.0
2	32.7	29.0	36.0
3	35.0	0.0	36.0
4	36.0	47.0	36.0
5	34.0	32.0	36.0
6	34.8	0.0	36.0
7	32.7	0.0	36.0
8	32.1	0.0	36.0
9	33.6	0.0	36.0
10	35.8	0.0	36.0
11	34.7	0.0	36.0
12	36.0	53.0	36.0
13	34.4	0.0	36.0
14	32.6	0.0	36.0
15	33.9	0.0	36.0
16	34.4	47.0	36.0
17	34.3	0.0	36.0
18	34.6	0.0	36.0
19	35.7	0.0	36.0
20	35.8	55.0	36.0
21	33.9	0.0	36.0
22	34.8	33.0	36.0
23	33.9	5.0	36.0
24	34.4	0.0	36.0
25	35.7	0.0	36.0
26	35.4	61.0	36.0
27	35.7	48.0	36.0
28	33.1	43.0	36.0
29	34.3	25.0	36.0
30	35.6	0.0	36.0
31	36.0	5.0	36.0
32	34.5	19.0	36.0
33	34.4	57.0	36.0
34	33.0	0.0	36.0
35	35.3	0.0	36.0
36	33.9	33.0	36.0
37	33.4	0.0	36.0
38	35.6	0.0	36.0
39	33.0	0.0	36.0
0	40.0	68.0	40.0
1	36.7	66.0	40.0
2	38.4	0.0	40.0
3	39.4	70.0	40.0
4	36.6	5.0	40.0
5	37.6	68.0	40.0
6	36.4	53.0	40.0
7	36.6	53.0	40.0
8	39.7	0.0	40.0
9	40.0	75.0	40.0
10	37.4	68.0	40.0
11	39.1	19.0	40.0
12	36.9	0.0	40.0
13	39.2	75.0	40.0
14	39.1	25.0	40.0
15	39.7	53.0	40.0
16	39.2	0.0	40.0
17	36.1	0.0	40.0
18	37.2	38.0	40.0
19	36.2	0.0	40.0
20	39.5	0.0	40.0
21	38.9	0.0	40.0
22	36.6	0.0	40.0
23	37.9	41.0	40.0
24	37.3	59.0	40.0
25	37.3	0.0	40.0
26	37.8	53.0	40.0
27	38.2	0.0	40.0
28	37.6	58.0	40.0
29	38.7	0.0	40.0
30	38.9	33.0	40.0
31	36.6	5.0	40.0
32	38.6	54.0	40.0
33	38.5	0.0	40.0
34	39.0	94.0	40.0
35	37.7	0.0	40.0
36	40.0	0.0	40.0
37	36.4	0.0	40.0
38	39.7	39.0	40.0
39	39.3	39.0	40.0
0	41.4	80.0	44.0
1	42.0	0.0	44.0
2	42.3	0.0	44.0
3	41.4	98.0	44.0
4	43.4	50.0	44.0
5	44.0	33.0	44.0
6	41.8	76.0	44.0
7	42.2	0.0	44.0
8	42.3	163.0	44.0
9	42.5	75.0	44.0
10	40.6	0.0	44.0
11	41.1	39.0	44.0
12	40.4	0.0	44.0
13	42.4	19.0	44.0
14	41.0	0.0	44.0
15	41.3	0.0	44.0
16	43.3	74.0	44.0
17	43.7	0.0	44.0
18	43.9	39.0	44.0
19	42.2	0.0	44.0
20	42.1	72.0	44.0
21	43.8	0.0	44.0
22	41.0	90.0	44.0
23	41.7	127.0	44.0
24	43.2	0.0	44.0
25	40.3	121.0	44.0
26	40.6	75.0	44.0
27	43.1	79.0	44.0
28	42.8	156.0	44.0
29	41.3	133.0	44.0
30	42.0	0.0	44.0
31	41.0	0.0	44.0
32	43.0	0.0	44.0
33	43.6	88.0	44.0
34	44.0	19.0	44.0
35	41.6	76.0	44.0
