window	n	s	window_end	n_recovered_in_win	clade
11	10.0	2.0	24.0	13.0	0
14	10.0	2.0	30.0	13.0	0
15	10.0	2.0	32.0	12.0	0
16	10.0	2.0	34.0	21.0	0
17	10.0	1.0	36.0	13.0	0
18	10.0	3.0	38.0	15.0	0
19	10.0	6.0	40.0	27.0	0
20	10.0	6.0	42.0	29.0	0
21	10.0	7.0	44.0	32.0	0
22	10.0	9.0	46.0	37.0	0
23	10.0	7.0	48.0	60.0	0
24	10.0	9.0	50.0	62.0	0
25	10.0	12.0	52.0	81.0	0
26	10.0	9.0	54.0	98.0	0
27	10.0	14.0	56.0	113.0	0
28	10.0	19.0	58.0	134.0	0
29	10.0	30.0	60.0	137.0	0
30	10.0	18.0	62.0	192.0	0
31	10.0	17.0	64.0	195.0	0
32	10.0	14.0	66.0	285.0	0
33	10.0	19.0	68.0	329.0	0
34	10.0	19.0	70.0	376.0	0
35	10.0	14.0	72.0	453.0	0
36	10.0	12.0	74.0	619.0	0
37	10.0	11.0	76.0	705.0	0
38	10.0	20.0	78.0	795.0	0
39	10.0	21.0	80.0	1049.0	0
40	10.0	29.0	82.0	1190.0	0
41	10.0	18.0	84.0	1443.0	0
42	10.0	24.0	86.0	1626.0	0
43	10.0	30.0	88.0	1970.0	0
44	10.0	26.0	90.0	2248.0	0
45	10.0	24.0	92.0	2438.0	0
46	10.0	21.0	94.0	2713.0	0
47	10.0	33.0	96.0	2882.0	0
48	10.0	30.0	98.0	3064.0	0
49	10.0	38.0	100.0	3204.0	0
50	10.0	23.0	102.0	3248.0	0
51	10.0	42.0	104.0	3293.0	0
52	10.0	34.0	106.0	3131.0	0
53	10.0	38.0	108.0	3076.0	0
54	10.0	31.0	110.0	2906.0	0
55	10.0	39.0	112.0	2583.0	0
56	10.0	30.0	114.0	2305.0	0
57	10.0	29.0	116.0	2141.0	0
58	10.0	41.0	118.0	1839.0	0
59	10.0	43.0	120.0	1544.0	0
60	10.0	42.0	122.0	1403.0	0
61	10.0	48.0	124.0	1238.0	0
62	10.0	40.0	126.0	1003.0	0
63	10.0	34.0	128.0	833.0	0
64	10.0	49.0	130.0	742.0	0
65	10.0	63.0	132.0	632.0	0
66	10.0	42.0	134.0	533.0	0
67	10.0	36.0	136.0	436.0	0
68	10.0	42.0	138.0	379.0	0
69	10.0	40.0	140.0	282.0	0
70	10.0	59.0	142.0	240.0	0
71	10.0	40.0	144.0	229.0	0
72	10.0	52.0	146.0	179.0	0
73	10.0	40.0	148.0	176.0	0
74	10.0	44.0	150.0	118.0	0
75	10.0	42.0	152.0	90.0	0
76	10.0	50.0	154.0	65.0	0
77	10.0	37.0	156.0	78.0	0
78	10.0	50.0	158.0	60.0	0
79	10.0	39.0	160.0	30.0	0
80	10.0	52.0	162.0	34.0	0
81	10.0	59.0	164.0	38.0	0
82	10.0	58.0	166.0	22.0	0
83	10.0	52.0	168.0	21.0	0
84	10.0	32.0	170.0	15.0	0
