window	n	s	window_end	n_recovered_in_win	clade
33	1.0	0.0	33.5	10.0	0
48	1.0	0.0	48.5	32.0	0
51	1.0	0.0	51.5	43.0	0
54	1.0	0.0	54.5	59.0	0
58	1.0	0.0	58.5	69.0	0
60	1.0	0.0	60.5	84.0	0
63	2.0	2.0	63.5	111.0	0
67	3.0	8.0	67.5	174.0	0
68	1.0	0.0	68.5	171.0	0
69	1.0	0.0	69.5	198.0	0
70	2.0	4.0	70.5	187.0	0
72	4.0	7.0	72.5	284.0	0
73	4.0	13.0	73.5	298.0	0
74	2.0	5.0	74.5	351.0	0
76	2.0	6.0	76.5	357.0	0
77	1.0	0.0	77.5	392.0	0
78	2.0	5.0	78.5	470.0	0
79	4.0	11.0	79.5	512.0	0
80	4.0	13.0	80.5	575.0	0
81	3.0	7.0	81.5	602.0	0
82	4.0	7.0	82.5	640.0	0
83	7.0	23.0	83.5	725.0	0
84	3.0	6.0	84.5	757.0	0
85	3.0	7.0	85.5	810.0	0
86	14.0	44.0	86.5	929.0	0
87	8.0	23.0	87.5	967.0	0
88	7.0	18.0	88.5	1039.0	0
89	22.0	60.0	89.5	1145.0	0
90	10.0	33.0	90.5	1155.0	0
91	4.0	18.0	91.5	1208.0	0
92	12.0	33.0	92.5	1321.0	0
93	15.0	41.0	93.5	1314.0	0
94	8.0	29.0	94.5	1462.0	0
95	10.0	29.0	95.5	1413.0	0
96	10.0	24.0	96.5	1450.0	0
97	8.0	17.0	97.5	1528.0	0
98	10.0	37.0	98.5	1650.0	0
99	15.0	52.0	99.5	1602.0	0
100	9.0	36.0	100.5	1587.0	0
101	15.0	60.0	101.5	1611.0	0
102	15.0	49.0	102.5	1615.0	0
103	15.0	35.0	103.5	1665.0	0
104	8.0	32.0	104.5	1606.0	0
105	13.0	39.0	105.5	1588.0	0
106	10.0	33.0	106.5	1543.0	0
107	9.0	38.0	107.5	1577.0	0
108	10.0	28.0	108.5	1458.0	0
109	11.0	33.0	109.5	1474.0	0
110	7.0	29.0	110.5	1364.0	0
111	15.0	41.0	111.5	1309.0	0
112	8.0	31.0	112.5	1225.0	0
113	14.0	52.0	113.5	1131.0	0
114	10.0	30.0	114.5	1111.0	0
115	8.0	29.0	115.5	1073.0	0
116	5.0	17.0	116.5	1012.0	0
117	6.0	23.0	117.5	938.0	0
118	10.0	33.0	118.5	820.0	0
119	9.0	37.0	119.5	775.0	0
120	4.0	23.0	120.5	744.0	0
121	4.0	17.0	121.5	707.0	0
122	11.0	40.0	122.5	674.0	0
123	2.0	10.0	123.5	580.0	0
124	4.0	15.0	124.5	575.0	0
125	5.0	20.0	125.5	498.0	0
126	4.0	15.0	126.5	450.0	0
127	5.0	21.0	127.5	443.0	0
128	5.0	25.0	128.5	372.0	0
129	3.0	17.0	129.5	364.0	0
130	1.0	0.0	130.5	327.0	0
131	3.0	14.0	131.5	305.0	0
132	3.0	10.0	132.5	317.0	0
133	2.0	11.0	133.5	264.0	0
134	3.0	22.0	134.5	235.0	0
135	4.0	20.0	135.5	216.0	0
137	1.0	0.0	137.5	183.0	0
138	1.0	0.0	138.5	176.0	0
140	1.0	0.0	140.5	137.0	0
141	3.0	10.0	141.5	116.0	0
142	1.0	0.0	142.5	128.0	0
143	2.0	15.0	143.5	123.0	0
144	1.0	0.0	144.5	90.0	0
146	4.0	17.0	146.5	93.0	0
153	1.0	0.0	153.5	37.0	0
154	1.0	0.0	154.5	38.0	0
158	1.0	0.0	158.5	21.0	0
159	1.0	0.0	159.5	15.0	0
163	1.0	0.0	163.5	20.0	0
