n_iter	R0	timestart	llh
0.0	1.1	30.0	-285.4641704710476
0.0	1.1	28.0	-203.4929398285276
0.0	1.1	26.0	-227.76766345970375
0.0	1.1	24.0	-212.8339242247562
0.0	1.1	22.0	-176.21437710346342
0.0	1.1	20.0	-188.33591316031217
0.0	1.1	18.0	-237.38216724603956
0.0	1.1	16.0	-229.06632412368776
0.0	1.1	14.0	-211.50222512493008
0.0	1.1	12.0	-181.34680847228393
0.0	1.1	10.0	-200.38089493210987
0.0	1.1	8.0	-171.49686788653338
0.0	1.1	6.0	-223.31772487225936
0.0	1.1	4.0	-161.13933089261948
0.0	1.1	2.0	-162.21336073401113
0.0	1.1	0.0	-141.51129682278744
0.0	1.1	-2.0	-105.72115290720569
0.0	1.1	-4.0	-163.27728399447295
0.0	1.1	-6.0	-139.42206807769156
0.0	1.1	-8.0	-123.54510513130386
0.0	1.1	-10.0	-175.15153078344576
0.0	1.1	-12.0	-96.34245858431639
0.0	1.1	-14.0	-151.57353367810038
0.0	1.1	-16.0	-132.77334597374596
0.0	1.1	-18.0	-102.4314955722984
0.0	1.1	-20.0	-131.2704654372919
0.0	1.1	-22.0	-100.83699692287425
0.0	1.1	-24.0	-111.45566084449155
0.0	1.1	-26.0	-139.8221589468262
0.0	1.1	-28.0	-120.0240104529754
0.0	1.1	-30.0	-116.80736151560357
0.0	1.1	-32.0	-116.90309051151922
0.0	1.1	-34.0	-96.40869609852102
0.0	1.1	-36.0	-122.59373141673117
0.0	1.1	-38.0	-119.7749537572085
0.0	1.1	-40.0	-96.42444621125102
0.0	1.1	-42.0	-126.4690855468282
0.0	1.1	-44.0	-107.64801521861591
0.0	1.1	-46.0	-110.0376485482242
0.0	1.1	-48.0	-98.72087362719704
0.0	1.1	-50.0	-102.41821206112722
0.0	1.3	30.0	-117.2971858562432
0.0	1.3	28.0	-130.5281419108628
0.0	1.3	26.0	-105.93921766732646
0.0	1.3	24.0	-93.4780089701227
0.0	1.3	22.0	-94.31437478133311
0.0	1.3	20.0	-97.54187990664767
0.0	1.3	18.0	-100.7462628621232
0.0	1.3	16.0	-95.7240172692621
0.0	1.3	14.0	-99.0932554502784
0.0	1.3	12.0	-95.23288909414681
0.0	1.3	10.0	-97.09167614874588
0.0	1.3	8.0	-86.1529789096981
0.0	1.3	6.0	-96.7905089861545
0.0	1.3	4.0	-84.45294131971264
0.0	1.3	2.0	-81.84770258739535
0.0	1.3	0.0	-81.32950372044203
0.0	1.3	-2.0	-84.0336001554046
0.0	1.3	-4.0	-81.76997584917157
0.0	1.3	-6.0	-80.51880574637623
0.0	1.3	-8.0	-79.80181786442014
0.0	1.3	-10.0	-80.91575011320732
0.0	1.3	-12.0	-80.83324732945624
0.0	1.3	-14.0	-82.90568783758711
0.0	1.3	-16.0	-78.40609678346716
0.0	1.3	-18.0	-80.02387186159882
0.0	1.3	-20.0	-79.36298964171827
0.0	1.3	-22.0	-80.7650150480186
0.0	1.3	-24.0	-83.01445493920649
0.0	1.3	-26.0	-80.28212038527312
0.0	1.3	-28.0	-80.3189274747339
0.0	1.3	-30.0	-81.92731051684346
0.0	1.3	-32.0	-80.97133009345636
0.0	1.3	-34.0	-80.2387048493786
0.0	1.3	-36.0	-80.71517770027003
0.0	1.3	-38.0	-80.58636094939541
0.0	1.3	-40.0	-82.15752922436245
0.0	1.3	-42.0	-81.63292500178035
0.0	1.3	-44.0	-82.6244508049186
0.0	1.3	-46.0	-86.69641046078601
0.0	1.3	-48.0	-80.97504790566384
0.0	1.3	-50.0	-80.27820430011435
0.0	1.5	30.0	-82.34387926079226
0.0	1.5	28.0	-89.4420791771705
0.0	1.5	26.0	-86.13678946108585
0.0	1.5	24.0	-79.77939031887232
0.0	1.5	22.0	-82.73166542062583
0.0	1.5	20.0	-81.08014513064394
0.0	1.5	18.0	-80.09017648550726
0.0	1.5	16.0	-79.19207197379787
0.0	1.5	14.0	-78.75179162394004
0.0	1.5	12.0	-77.98666170116257
0.0	1.5	10.0	-77.67372105041412
0.0	1.5	8.0	-77.82553588990069
0.0	1.5	6.0	-76.90902425977369
0.0	1.5	4.0	-77.14192121893007
0.0	1.5	2.0	-77.85075074424688
0.0	1.5	0.0	-78.72718432319692
0.0	1.5	-2.0	-77.70768705835236
0.0	1.5	-4.0	-77.76601607358734
0.0	1.5	-6.0	-78.34034025046661
0.0	1.5	-8.0	-78.49618078890511
0.0	1.5	-10.0	-78.01003084579635
0.0	1.5	-12.0	-77.83334443220338
0.0	1.5	-14.0	-78.01484238281182
0.0	1.5	-16.0	-78.92556455380203
0.0	1.5	-18.0	-80.23219995594707
0.0	1.5	-20.0	-80.72513622612827
0.0	1.5	-22.0	-79.74787746714856
0.0	1.5	-24.0	-82.53996085240775
0.0	1.5	-26.0	-78.69149886341259
0.0	1.5	-28.0	-78.26322104611663
0.0	1.5	-30.0	-81.04286932818725
0.0	1.5	-32.0	-80.72489772013479
0.0	1.5	-34.0	-88.95364905262534
0.0	1.5	-36.0	-80.47065823595908
0.0	1.5	-38.0	-85.12246659809843
0.0	1.5	-40.0	-82.37370286851856
0.0	1.5	-42.0	-82.9565711019589
0.0	1.5	-44.0	-82.04840549668866
0.0	1.5	-46.0	-111.21921611575542
0.0	1.5	-48.0	-83.12210443894347
0.0	1.5	-50.0	-79.85777878409178
0.0	1.7	30.0	-83.49288432894535
0.0	1.7	28.0	-78.5037387825572
0.0	1.7	26.0	-79.09255910333658
0.0	1.7	24.0	-78.21720753332879
0.0	1.7	22.0	-77.34890714139974
0.0	1.7	20.0	-77.43431347112248
0.0	1.7	18.0	-77.02078272467989
0.0	1.7	16.0	-76.47982271076759
0.0	1.7	14.0	-77.21507381797885
0.0	1.7	12.0	-76.86272051100494
0.0	1.7	10.0	-77.76089834816139
0.0	1.7	8.0	-76.88065192071363
0.0	1.7	6.0	-76.97941726916517
0.0	1.7	4.0	-78.68626794124513
0.0	1.7	2.0	-78.56340450416003
0.0	1.7	0.0	-78.85560719534506
0.0	1.7	-2.0	-78.70808191904938
0.0	1.7	-4.0	-77.68204165481492
0.0	1.7	-6.0	-79.02355657857854
0.0	1.7	-8.0	-78.55195502118173
0.0	1.7	-10.0	-82.52805499442353
0.0	1.7	-12.0	-80.1445327410622
0.0	1.7	-14.0	-79.04057089677497
0.0	1.7	-16.0	-83.10898515490335
0.0	1.7	-18.0	-87.76132989118432
0.0	1.7	-20.0	-84.76911561568761
0.0	1.7	-22.0	-80.38145010685064
0.0	1.7	-24.0	-85.82782953584044
0.0	1.7	-26.0	-80.20611993026112
0.0	1.7	-28.0	-102.60492827246173
0.0	1.7	-30.0	-79.14660544337673
0.0	1.7	-32.0	-89.74675948397642
0.0	1.7	-34.0	-97.79418865643055
0.0	1.7	-36.0	-80.89727632944764
0.0	1.7	-38.0	-91.06292206683761
0.0	1.7	-40.0	-108.89123853841261
0.0	1.7	-42.0	-111.82649168443426
0.0	1.7	-44.0	-inf
0.0	1.7	-46.0	-90.50397473494904
0.0	1.7	-48.0	-113.8714720936798
0.0	1.7	-50.0	-inf
0.0	1.9	30.0	-79.10601852500531
