n_iter	R0	timestart	llh
0.0	1.0	30.0	-479.97842764980237
0.0	1.0	28.0	-inf
0.0	1.0	26.0	-435.88913716532176
0.0	1.0	24.0	-281.81458624125577
0.0	1.0	22.0	-415.1333863137663
0.0	1.0	20.0	-524.635133489952
0.0	1.0	18.0	-358.15828781543104
0.0	1.0	16.0	-477.73930051200426
0.0	1.0	14.0	-399.55946076241383
0.0	1.0	12.0	-356.3581081723592
0.0	1.0	10.0	-181.08713945591694
0.0	1.0	8.0	-281.36670414073916
0.0	1.0	6.0	-291.44125294430427
0.0	1.0	4.0	-509.17259534587714
0.0	1.0	2.0	-390.16010248693283
0.0	1.0	0.0	-282.63691453001064
0.0	1.0	-2.0	-333.8701858695453
0.0	1.0	-4.0	-299.13686523597966
0.0	1.0	-6.0	-314.7675420597391
0.0	1.0	-8.0	-238.392029391375
0.0	1.0	-10.0	-inf
0.0	1.0	-12.0	-inf
0.0	1.0	-14.0	-inf
0.0	1.0	-16.0	-326.92708133712483
0.0	1.0	-18.0	-236.20319695687215
0.0	1.0	-20.0	-211.61930828461777
0.0	1.0	-22.0	-219.85530135236473
0.0	1.0	-24.0	-265.5219491760171
0.0	1.0	-26.0	-281.9685748530327
0.0	1.0	-28.0	-255.71236990287258
0.0	1.0	-30.0	-198.57543112539028
0.0	1.0	-32.0	-263.7837803196512
0.0	1.0	-34.0	-313.8000038340388
0.0	1.0	-36.0	-286.2632162512362
0.0	1.0	-38.0	-196.08078422161117
0.0	1.0	-40.0	-266.09041810238966
0.0	1.0	-42.0	-195.8748586054658
0.0	1.0	-44.0	-173.17671120292346
0.0	1.0	-46.0	-182.17616427718713
0.0	1.0	-48.0	-229.80755309120315
0.0	1.0	-50.0	-261.81232760433903
0.0	1.2	30.0	-147.6781993687332
0.0	1.2	28.0	-165.84258696842167
0.0	1.2	26.0	-116.08522472509625
0.0	1.2	24.0	-183.31165945544817
0.0	1.2	22.0	-128.65240161874576
0.0	1.2	20.0	-152.17644267183974
0.0	1.2	18.0	-137.6621486036143
0.0	1.2	16.0	-160.77097477711087
0.0	1.2	14.0	-183.229540631346
0.0	1.2	12.0	-141.97983035079477
0.0	1.2	10.0	-141.8629733076965
0.0	1.2	8.0	-180.9230456036107
0.0	1.2	6.0	-156.1838063677507
0.0	1.2	4.0	-115.32273083766134
0.0	1.2	2.0	-88.6797434320041
0.0	1.2	0.0	-109.74571160789162
0.0	1.2	-2.0	-103.35421683247034
0.0	1.2	-4.0	-86.83753376535918
0.0	1.2	-6.0	-115.90673395634381
0.0	1.2	-8.0	-95.81030970207865
0.0	1.2	-10.0	-83.35879321539912
0.0	1.2	-12.0	-98.27063483026332
0.0	1.2	-14.0	-90.13900068897317
0.0	1.2	-16.0	-98.58806969159514
0.0	1.2	-18.0	-91.75071333328171
0.0	1.2	-20.0	-88.69876777702703
0.0	1.2	-22.0	-83.50528860787989
0.0	1.2	-24.0	-86.10259170225068
0.0	1.2	-26.0	-82.36244262261334
0.0	1.2	-28.0	-84.7742192610233
0.0	1.2	-30.0	-83.78499980530736
0.0	1.2	-32.0	-87.2613320523597
0.0	1.2	-34.0	-89.2650269524696
0.0	1.2	-36.0	-84.93711408438587
0.0	1.2	-38.0	-81.39741047716583
0.0	1.2	-40.0	-83.20096558884983
0.0	1.2	-42.0	-83.7441535483919
0.0	1.2	-44.0	-82.35001171120389
