n_iter	R0	timestart	llh
0.0	1.1	36.0	-inf
0.0	1.1	34.0	-323.8095286838708
0.0	1.1	32.0	-235.3256474805651
0.0	1.3	36.0	-inf
0.0	1.3	34.0	-103.86107305093041
0.0	1.3	32.0	-129.79154239541046
0.0	1.5	36.0	-inf
0.0	1.5	34.0	-106.66154600027504
0.0	1.5	32.0	-90.43331192289003
0.0	1.7	36.0	-inf
0.0	1.7	34.0	-87.58964669163456
0.0	1.7	32.0	-83.72247369825685
0.0	1.9	36.0	-inf
0.0	1.9	34.0	-80.37702669176984
0.0	1.9	32.0	-78.90220723745811
0.0	2.0999999999999996	36.0	-inf
0.0	2.0999999999999996	34.0	-83.7116599132725
0.0	2.0999999999999996	32.0	-82.6306972346401
0.0	2.3	36.0	-inf
0.0	2.3	34.0	-88.44567973456309
0.0	2.3	32.0	-90.6586673847126
0.0	2.5	36.0	-inf
0.0	2.5	34.0	-98.96691178271833
0.0	2.5	32.0	-107.86551900542277
