n_iter	R0	timestart	llh
0.0	1.0	36.0	-inf
0.0	1.0	34.0	-452.6930341357894
0.0	1.0	32.0	-inf
0.0	1.2	36.0	-inf
0.0	1.2	34.0	-184.54175380355792
0.0	1.2	32.0	-297.2579678466944
0.0	1.4	36.0	-inf
0.0	1.4	34.0	-136.34932575592302
0.0	1.4	32.0	-107.90036997279087
0.0	1.5999999999999999	36.0	-inf
0.0	1.5999999999999999	34.0	-93.43060700785922
0.0	1.5999999999999999	32.0	-86.40137177826614
0.0	1.7999999999999998	36.0	-inf
0.0	1.7999999999999998	34.0	-81.01568861100445
0.0	1.7999999999999998	32.0	-80.0353030873557
0.0	1.9999999999999998	36.0	-inf
0.0	1.9999999999999998	34.0	-82.18971637521487
0.0	1.9999999999999998	32.0	-81.92983372346391
0.0	2.1999999999999997	36.0	-inf
0.0	2.1999999999999997	34.0	-83.99340939175912
0.0	2.1999999999999997	32.0	-87.10821671761008
0.0	2.3999999999999995	36.0	-inf
0.0	2.3999999999999995	34.0	-100.24192093451926
0.0	2.3999999999999995	32.0	-96.2846383625278
