window	n	s	window_end	n_recovered_in_win	clade
15	2.0	2.0	62.0	329.0	0
16	4.0	5.0	66.0	480.0	0
17	1.0	0.0	70.0	705.0	0
19	3.0	7.0	78.0	1500.0	0
20	3.0	10.0	82.0	2239.0	0
21	3.0	9.0	86.0	3069.0	0
22	6.0	19.0	90.0	4218.0	0
23	9.0	27.0	94.0	5151.0	0
24	11.0	33.0	98.0	5946.0	0
25	8.0	19.0	102.0	6452.0	0
26	8.0	30.0	106.0	6424.0	0
27	15.0	56.0	110.0	5982.0	0
28	8.0	36.0	114.0	4888.0	0
29	3.0	12.0	118.0	3980.0	0
30	2.0	5.0	122.0	2947.0	0
31	6.0	15.0	126.0	2241.0	0
32	3.0	17.0	130.0	1575.0	0
33	2.0	8.0	134.0	1165.0	0
34	1.0	0.0	138.0	815.0	0
36	1.0	0.0	146.0	408.0	0
39	1.0	0.0	158.0	138.0	0
