n_iter	R0	llh
0.0	1.0	-368.93362180618107
0.0	1.05	-215.83157354650692
0.0	1.1	-174.617022172769
0.0	1.1500000000000001	-132.20872955223425
0.0	1.2000000000000002	-103.05296176532673
0.0	1.2500000000000002	-103.64767489846493
0.0	1.3000000000000003	-79.14755374340446
0.0	1.3500000000000003	-82.49531361192516
0.0	1.4000000000000004	-78.4308945000712
0.0	1.4500000000000004	-76.97371642783416
0.0	1.5000000000000004	-78.01810895722988
0.0	1.5500000000000005	-77.77721288270959
0.0	1.6000000000000005	-76.91790927004376
0.0	1.6500000000000006	-77.64665574308222
0.0	1.7000000000000006	-78.47168450214966
0.0	1.7500000000000007	-78.94365249140749
0.0	1.8000000000000007	-78.17902339108632
0.0	1.8500000000000008	-79.09607137633373
0.0	1.9000000000000008	-81.04740747407779
0.0	1.9500000000000008	-87.65840182376878
0.0	2.000000000000001	-83.53766937483381
0.0	2.0500000000000007	-84.69422351161894
0.0	2.100000000000001	-87.92971319829478
0.0	2.1500000000000012	-102.6174960338514
0.0	2.200000000000001	-inf
0.0	2.250000000000001	-inf
0.0	2.300000000000001	-inf
0.0	2.3500000000000014	-inf
0.0	2.4000000000000012	-inf
0.0	2.450000000000001	-inf
0.0	2.5000000000000013	-inf
