	t	genotype	recovered_window
0	32.5	0.0	34.0
1	32.1	4.0	34.0
2	32.7	0.0	34.0
3	33.9	6.0	34.0
4	32.4	4.0	34.0
5	32.4	4.0	34.0
6	33.8	5.0	34.0
7	33.1	4.0	34.0
8	32.4	0.0	34.0
9	33.8	0.0	34.0
10	32.6	0.0	34.0
11	33.2	0.0	34.0
12	32.6	0.0	34.0
13	33.4	0.0	34.0
14	33.9	0.0	34.0
15	33.3	0.0	34.0
16	32.7	12.0	34.0
17	33.5	0.0	34.0
18	32.8	0.0	34.0
19	32.3	0.0	34.0
0	38.2	5.0	40.0
1	39.5	0.0	40.0
2	38.8	5.0	40.0
3	39.5	16.0	40.0
4	39.2	10.0	40.0
5	38.4	11.0	40.0
6	39.0	0.0	40.0
7	39.2	15.0	40.0
8	38.8	16.0	40.0
9	38.6	0.0	40.0
10	38.1	4.0	40.0
11	40.0	4.0	40.0
12	39.1	0.0	40.0
13	38.1	17.0	40.0
14	38.2	0.0	40.0
15	39.4	0.0	40.0
16	38.7	0.0	40.0
17	38.5	16.0	40.0
18	39.6	0.0	40.0
19	39.4	4.0	40.0
0	40.5	4.0	42.0
1	41.4	16.0	42.0
2	41.8	4.0	42.0
3	40.7	0.0	42.0
4	41.1	0.0	42.0
5	40.3	0.0	42.0
6	41.1	0.0	42.0
7	41.1	16.0	42.0
8	40.1	5.0	42.0
9	40.5	0.0	42.0
10	41.5	0.0	42.0
11	41.9	28.0	42.0
12	41.9	10.0	42.0
13	41.6	0.0	42.0
14	41.8	16.0	42.0
15	41.7	15.0	42.0
16	41.2	0.0	42.0
17	40.2	10.0	42.0
18	42.0	16.0	42.0
19	40.4	5.0	42.0
0	43.7	0.0	44.0
1	43.0	0.0	44.0
2	42.5	22.0	44.0
3	42.2	4.0	44.0
4	42.3	0.0	44.0
5	43.5	15.0	44.0
6	42.8	14.0	44.0
7	43.5	14.0	44.0
8	44.0	4.0	44.0
9	43.7	0.0	44.0
10	42.7	21.0	44.0
11	43.2	26.0	44.0
12	43.0	0.0	44.0
13	43.3	19.0	44.0
14	42.8	14.0	44.0
15	43.7	4.0	44.0
16	43.0	0.0	44.0
17	43.0	0.0	44.0
18	43.9	18.0	44.0
19	43.8	16.0	44.0
0	45.2	0.0	46.0
1	45.2	0.0	46.0
2	45.4	45.0	46.0
3	46.0	16.0	46.0
4	45.5	23.0	46.0
5	44.4	15.0	46.0
6	45.7	40.0	46.0
7	44.7	0.0	46.0
8	45.8	4.0	46.0
9	45.3	0.0	46.0
10	45.3	9.0	46.0
11	44.9	9.0	46.0
12	45.5	0.0	46.0
13	45.1	23.0	46.0
14	45.6	9.0	46.0
15	45.5	46.0	46.0
16	44.9	43.0	46.0
17	45.8	36.0	46.0
18	45.1	0.0	46.0
19	45.1	0.0	46.0
0	46.8	0.0	48.0
1	46.4	4.0	48.0
2	46.2	26.0	48.0
3	47.6	0.0	48.0
4	47.0	16.0	48.0
5	47.6	26.0	48.0
6	46.6	15.0	48.0
7	48.0	11.0	48.0
8	46.2	16.0	48.0
9	47.1	15.0	48.0
10	46.3	16.0	48.0
11	46.4	0.0	48.0
12	47.6	0.0	48.0
13	47.4	26.0	48.0
14	47.1	0.0	48.0
15	47.4	0.0	48.0
16	47.6	61.0	48.0
17	47.3	4.0	48.0
18	46.7	0.0	48.0
19	47.3	23.0	48.0
0	48.6	26.0	50.0
1	48.9	47.0	50.0
2	49.7	86.0	50.0
3	50.0	53.0	50.0
4	48.9	23.0	50.0
5	50.0	0.0	50.0
6	48.6	22.0	50.0
7	49.1	22.0	50.0
8	48.4	15.0	50.0
9	49.0	68.0	50.0
10	48.1	19.0	50.0
11	48.5	4.0	50.0
12	48.9	50.0	50.0
13	49.7	50.0	50.0
14	48.9	59.0	50.0
15	49.8	35.0	50.0
16	48.3	0.0	50.0
17	48.4	0.0	50.0
18	49.0	0.0	50.0
19	48.7	0.0	50.0
0	50.3	35.0	52.0
