	t	genotype	recovered_window
0	18.4	0.0	20.0
1	17.3	0.0	20.0
2	18.2	0.0	20.0
3	18.4	0.0	20.0
4	18.6	19.0	20.0
5	17.7	0.0	20.0
6	18.7	0.0	20.0
7	17.7	0.0	20.0
8	18.9	6.0	20.0
9	19.0	0.0	20.0
10	17.6	0.0	20.0
11	19.8	0.0	20.0
12	17.5	0.0	20.0
13	18.4	16.0	20.0
14	18.5	0.0	20.0
15	19.0	0.0	20.0
16	19.0	15.0	20.0
17	18.9	0.0	20.0
18	17.9	0.0	20.0
19	18.9	0.0	20.0
20	17.9	0.0	20.0
21	19.5	0.0	20.0
22	19.7	0.0	20.0
23	18.8	0.0	20.0
24	17.0	13.0	20.0
25	18.7	0.0	20.0
26	18.1	0.0	20.0
27	18.8	0.0	20.0
28	19.8	0.0	20.0
29	19.9	0.0	20.0
30	19.4	0.0	20.0
31	18.8	0.0	20.0
32	17.2	0.0	20.0
33	16.5	0.0	20.0
34	17.6	0.0	20.0
35	18.4	0.0	20.0
36	17.9	0.0	20.0
37	19.3	0.0	20.0
38	18.2	0.0	20.0
39	17.1	9.0	20.0
0	22.1	0.0	24.0
1	23.3	0.0	24.0
2	22.6	0.0	24.0
3	20.6	0.0	24.0
4	21.2	15.0	24.0
5	21.4	11.0	24.0
6	21.5	0.0	24.0
7	22.3	26.0	24.0
8	23.8	0.0	24.0
9	21.8	0.0	24.0
10	22.3	0.0	24.0
11	22.9	0.0	24.0
12	22.9	0.0	24.0
13	23.2	0.0	24.0
14	21.9	0.0	24.0
15	22.8	0.0	24.0
16	22.6	14.0	24.0
17	20.7	23.0	24.0
18	23.4	25.0	24.0
19	21.9	0.0	24.0
20	20.7	15.0	24.0
21	21.2	0.0	24.0
22	21.0	0.0	24.0
23	22.5	0.0	24.0
24	20.2	0.0	24.0
25	20.2	15.0	24.0
26	23.9	6.0	24.0
27	22.1	0.0	24.0
28	23.0	0.0	24.0
29	23.9	15.0	24.0
30	22.5	0.0	24.0
