window	n	s	window_end	n_recovered_in_win	clade
4	40.0	10.0	20.0	41.0	0
5	40.0	10.0	24.0	71.0	0
6	40.0	22.0	28.0	101.0	0
7	40.0	18.0	32.0	186.0	0
8	40.0	32.0	36.0	354.0	0
9	40.0	43.0	40.0	650.0	0
10	40.0	36.0	44.0	1270.0	0
11	40.0	65.0	48.0	2210.0	0
12	40.0	58.0	52.0	3979.0	0
13	40.0	75.0	56.0	6476.0	0
14	40.0	65.0	60.0	9210.0	0
15	40.0	88.0	64.0	11607.0	0
16	40.0	87.0	68.0	12134.0	0
17	40.0	107.0	72.0	10774.0	0
18	40.0	108.0	76.0	8003.0	0
19	40.0	91.0	80.0	5220.0	0
20	40.0	91.0	84.0	3260.0	0
21	40.0	118.0	88.0	1974.0	0
22	40.0	114.0	92.0	1120.0	0
23	40.0	109.0	96.0	619.0	0
24	40.0	121.0	100.0	371.0	0
25	40.0	134.0	104.0	193.0	0
26	40.0	127.0	108.0	105.0	0
27	40.0	94.0	112.0	64.0	0
