	t	genotype	recovered_window
0	18.8	0.0	20.0
1	18.2	0.0	20.0
2	19.8	0.0	20.0
3	19.0	15.0	20.0
4	18.9	0.0	20.0
5	17.5	0.0	20.0
6	18.4	16.0	20.0
7	19.9	0.0	20.0
8	19.7	0.0	20.0
9	18.1	0.0	20.0
10	16.5	0.0	20.0
11	19.0	0.0	20.0
12	17.9	0.0	20.0
13	17.3	0.0	20.0
14	17.0	13.0	20.0
15	17.1	9.0	20.0
16	19.3	0.0	20.0
17	18.8	0.0	20.0
18	17.6	0.0	20.0
19	19.0	0.0	20.0
20	17.9	0.0	20.0
21	17.2	0.0	20.0
22	18.9	0.0	20.0
23	18.5	0.0	20.0
24	18.4	0.0	20.0
25	18.8	0.0	20.0
26	17.7	0.0	20.0
27	19.4	0.0	20.0
28	18.9	6.0	20.0
29	18.2	0.0	20.0
30	18.6	19.0	20.0
31	18.4	0.0	20.0
32	17.7	0.0	20.0
33	18.3	8.0	20.0
34	18.4	0.0	20.0
35	18.7	0.0	20.0
36	19.8	0.0	20.0
37	17.6	0.0	20.0
38	19.5	0.0	20.0
39	18.7	0.0	20.0
0	22.9	0.0	24.0
1	23.6	0.0	24.0
2	22.9	0.0	24.0
3	21.2	15.0	24.0
4	20.2	0.0	24.0
5	23.0	0.0	24.0
6	22.1	14.0	24.0
7	22.1	0.0	24.0
8	20.5	0.0	24.0
9	22.9	12.0	24.0
10	21.1	0.0	24.0
11	23.5	10.0	24.0
12	23.4	25.0	24.0
13	22.9	0.0	24.0
14	20.7	23.0	24.0
15	23.5	0.0	24.0
16	22.3	26.0	24.0
17	20.2	21.0	24.0
18	22.7	29.0	24.0
19	22.6	0.0	24.0
20	23.7	0.0	24.0
21	23.9	15.0	24.0
22	23.6	0.0	24.0
23	23.9	6.0	24.0
24	23.6	0.0	24.0
25	24.0	18.0	24.0
26	20.5	14.0	24.0
27	22.0	0.0	24.0
28	22.4	0.0	24.0
29	21.6	22.0	24.0
30	21.4	0.0	24.0
31	21.0	0.0	24.0
32	23.4	20.0	24.0
33	23.5	15.0	24.0
34	20.6	0.0	24.0
35	21.3	0.0	24.0
36	22.0	0.0	24.0
37	22.3	0.0	24.0
38	22.6	0.0	24.0
