n_iter	timestart	R0	llh
0.0	737838.0	3.7	-31.98607337805728
1.0	737838.0	3.7	-31.697212117001516
2.0	737838.0	3.7	-32.672750750835036
3.0	737838.0	3.7	-34.375522188508484
4.0	737838.0	3.7	-31.257862234406478
5.0	737838.0	3.7	-32.815299528056116
6.0	737838.0	3.7	-32.18145441567288
7.0	737838.0	3.7	-32.3661328142001
8.0	737838.0	3.7	-31.320174338934613
9.0	737838.0	3.7	-31.654813080863505
0.0	737835.0	3.7	-31.23435146097323
1.0	737835.0	3.7	-30.607549996699728
2.0	737835.0	3.7	-30.971942764543382
3.0	737835.0	3.7	-30.287669291154323
4.0	737835.0	3.7	-30.400637988352578
5.0	737835.0	3.7	-30.384684257394245
6.0	737835.0	3.7	-30.814294603707335
7.0	737835.0	3.7	-30.192705853795353
8.0	737835.0	3.7	-31.7464871917895
9.0	737835.0	3.7	-30.703175601158883
0.0	737832.0	3.7	-30.06712652850693
1.0	737832.0	3.7	-30.302085168778937
2.0	737832.0	3.7	-29.997794288572333
3.0	737832.0	3.7	-32.1394127911133
4.0	737832.0	3.7	-29.957200815327813
5.0	737832.0	3.7	-29.66587520092702
6.0	737832.0	3.7	-31.336827578576727
7.0	737832.0	3.7	-28.8047117712811
8.0	737832.0	3.7	-29.11269162025086
9.0	737832.0	3.7	-30.04557222964371
0.0	737829.0	3.7	-30.266148605765856
1.0	737829.0	3.7	-31.432422012187974
2.0	737829.0	3.7	-31.97858283342908
3.0	737829.0	3.7	-29.962770072008784
4.0	737829.0	3.7	-32.63806946600781
5.0	737829.0	3.7	-30.914116655393098
6.0	737829.0	3.7	-30.654003244273696
7.0	737829.0	3.7	-30.583581287092624
8.0	737829.0	3.7	-30.690986692200468
9.0	737829.0	3.7	-30.845073281780294
0.0	737826.0	3.7	-28.64829624439
1.0	737826.0	3.7	-32.09308682801081
2.0	737826.0	3.7	-38.73279138125874
3.0	737826.0	3.7	-29.603829240571017
4.0	737826.0	3.7	-29.586873436336138
5.0	737826.0	3.7	-30.70274762311106
6.0	737826.0	3.7	-31.755694413480413
7.0	737826.0	3.7	-31.081393968221672
8.0	737826.0	3.7	-32.06411138138278
9.0	737826.0	3.7	-28.828518308269715
0.0	737823.0	3.7	-32.93448840982267
1.0	737823.0	3.7	-29.703372763056816
2.0	737823.0	3.7	-34.947916716493
3.0	737823.0	3.7	-31.937493471038465
4.0	737823.0	3.7	-31.123817204484624
5.0	737823.0	3.7	-30.915267686106777
6.0	737823.0	3.7	-29.276551798053944
7.0	737823.0	3.7	-29.394589178035844
8.0	737823.0	3.7	-31.447775835631028
9.0	737823.0	3.7	-33.614422282313676
0.0	737820.0	3.7	-30.260799904621795
1.0	737820.0	3.7	-31.652618383205564
2.0	737820.0	3.7	-30.316242625060866
3.0	737820.0	3.7	-38.4360910868789
4.0	737820.0	3.7	-30.995046923494982
5.0	737820.0	3.7	-34.50433862115153
6.0	737820.0	3.7	-31.40213327449886
7.0	737820.0	3.7	-42.33119358669975
8.0	737820.0	3.7	-30.274440851219218
9.0	737820.0	3.7	-52.5062441526097
0.0	737817.0	3.7	-30.726088277833053
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
