n_iter	log10eta	R0	llh
1.0	-1.8	2.3	-28.561063066408654
2.0	-1.8	2.3	-28.729513938155378
3.0	-1.8	2.3	-28.695976887516082
4.0	-1.8	2.3	-28.69764620751475
5.0	-1.8	2.3	-28.692180849818676
6.0	-1.8	2.3	-28.785146762306532
7.0	-1.8	2.3	-28.98107520468372
8.0	-1.8	2.3	-28.809532150370462
9.0	-1.8	2.3	-28.812651988857553
1.0	-1.6	2.3	-28.776031802860807
2.0	-1.6	2.3	-28.844713316290107
3.0	-1.6	2.3	-28.75784090019212
4.0	-1.6	2.3	-28.778155261897336
5.0	-1.6	2.3	-28.730489713237837
6.0	-1.6	2.3	-28.78996752640223
7.0	-1.6	2.3	-29.037938066077984
8.0	-1.6	2.3	-28.84881098100105
9.0	-1.6	2.3	-29.154142065004113
0.0	-1.4000000000000001	2.3	-28.91929406132109
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
