n_iter	log10eta	R0	llh
0.0	-1.8	2.9	-50.60239726328287
1.0	-1.8	2.9	-47.56827796400752
2.0	-1.8	2.9	-45.97799843488171
3.0	-1.8	2.9	-52.56715943145616
4.0	-1.8	2.9	-45.020594784393936
5.0	-1.8	2.9	-44.20112937905
6.0	-1.8	2.9	-42.658499489463146
7.0	-1.8	2.9	-48.096355344064854
8.0	-1.8	2.9	-48.709627878311814
9.0	-1.8	2.9	-46.84280392594885
0.0	-1.6	2.9	-49.71255787939217
1.0	-1.6	2.9	-55.57707013009991
2.0	-1.6	2.9	-55.812739132757905
3.0	-1.6	2.9	-51.64876624056778
4.0	-1.6	2.9	-47.703423904287085
5.0	-1.6	2.9	-53.462865691340674
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
