n_iter	log10eta	R0	llh
4.0	-1.8	1.2	-82.51265540373637
5.0	-1.8	1.2	-82.70845078039723
6.0	-1.8	1.2	-82.852033993482
7.0	-1.8	1.2	-84.5489369202484
8.0	-1.8	1.2	-83.45608869418263
9.0	-1.8	1.2	-82.20271293166716
4.0	-1.6	1.2	-84.47042156839605
5.0	-1.6	1.2	-84.7439153441783
6.0	-1.6	1.2	-84.18212222022294
7.0	-1.6	1.2	-85.76642456790266
8.0	-1.6	1.2	-83.50160327198958
9.0	-1.6	1.2	-83.67641591139895
4.0	-1.4000000000000001	1.2	-86.03012973382742
5.0	-1.4000000000000001	1.2	-84.19110788703877
6.0	-1.4000000000000001	1.2	-84.53150820520443
7.0	-1.4000000000000001	1.2	-84.52880532101801
8.0	-1.4000000000000001	1.2	-86.05547432834871
9.0	-1.4000000000000001	1.2	-85.98099165726944
4.0	-1.2000000000000002	1.2	-85.5848957893187
5.0	-1.2000000000000002	1.2	-85.33279519062611
6.0	-1.2000000000000002	1.2	-85.99036080415402
7.0	-1.2000000000000002	1.2	-85.65567432136558
8.0	-1.2000000000000002	1.2	-85.43127115927328
9.0	-1.2000000000000002	1.2	-82.79790922870976
4.0	-1.0000000000000002	1.2	-86.27540133685568
5.0	-1.0000000000000002	1.2	-86.41624554998216
6.0	-1.0000000000000002	1.2	-85.82107950966596
7.0	-1.0000000000000002	1.2	-86.18753128617985
8.0	-1.0000000000000002	1.2	-87.00491243302608
9.0	-1.0000000000000002	1.2	-86.56181992848856
