n_iter	log10eta	R0	llh
1.0	-1.8	2.2	-29.4600403209464
2.0	-1.8	2.2	-29.543248483275427
3.0	-1.8	2.2	-29.439456732839254
4.0	-1.8	2.2	-29.61802326687113
5.0	-1.8	2.2	-29.999788921180713
6.0	-1.8	2.2	-29.22458442347427
7.0	-1.8	2.2	-29.943643369119158
8.0	-1.8	2.2	-29.39922492895318
9.0	-1.8	2.2	-30.03992313217436
1.0	-1.6	2.2	-29.605930151928582
2.0	-1.6	2.2	-29.36793701171881
3.0	-1.6	2.2	-29.229707406764977
4.0	-1.6	2.2	-29.158624171804657
5.0	-1.6	2.2	-29.131053996171367
6.0	-1.6	2.2	-29.6073908976779
7.0	-1.6	2.2	-29.532145210640927
8.0	-1.6	2.2	-29.787900284663785
9.0	-1.6	2.2	-29.292140944265288
1.0	-1.4000000000000001	2.2	-29.161101152959475
2.0	-1.4000000000000001	2.2	-29.099587402087902
3.0	-1.4000000000000001	2.2	-29.632960501277125
4.0	-1.4000000000000001	2.2	-29.214630591868794
5.0	-1.4000000000000001	2.2	-28.948679481002024
6.0	-1.4000000000000001	2.2	-29.007916165558377
7.0	-1.4000000000000001	2.2	-29.327600627935
8.0	-1.4000000000000001	2.2	-29.555144441343195
9.0	-1.4000000000000001	2.2	-29.343570390060684
1.0	-1.2000000000000002	2.2	-29.35579978650961
2.0	-1.2000000000000002	2.2	-29.174524062751424
3.0	-1.2000000000000002	2.2	-28.929241806013497
4.0	-1.2000000000000002	2.2	-29.453966391404098
5.0	-1.2000000000000002	2.2	-28.873639719696918
6.0	-1.2000000000000002	2.2	-29.156457805944314
7.0	-1.2000000000000002	2.2	-29.05842348766388
8.0	-1.2000000000000002	2.2	-29.280104068772786
9.0	-1.2000000000000002	2.2	-29.087956079058877
0.0	-1.0000000000000002	2.2	-29.12912064687076
1.0	-1.0000000000000002	2.2	-29.195153690729132
2.0	-1.0000000000000002	2.2	-29.089623310248157
3.0	-1.0000000000000002	2.2	-29.21472796355241
4.0	-1.0000000000000002	2.2	-28.901897085935794
5.0	-1.0000000000000002	2.2	-29.127442285842058
6.0	-1.0000000000000002	2.2	-29.144964444763083
7.0	-1.0000000000000002	2.2	-29.08938868595495
8.0	-1.0000000000000002	2.2	-29.08987752187862
9.0	-1.0000000000000002	2.2	-29.036451942665426
