window_end	n	s
737839.0	0.0	
737843.0	4.0	49.0
737847.0	6.0	253.0
737851.0	27.0	849.0
737855.0	60.0	597.0
737859.0	79.0	1134.0
737863.0	93.0	1134.0
737867.0	163.0	1911.0
