n_iter	R0	llh
0.0	1.41	-135.065161938502
0.0	1.42	-130.57416452143465
0.0	1.43	-131.2838312038798
0.0	1.44	-131.7259592408945
0.0	1.45	-129.69066745980155
0.0	1.46	-129.52771857852002
0.0	1.47	-128.3448830953215
0.0	1.48	-126.5826428690586
0.0	1.49	-127.46929302500743
0.0	1.5	-126.15675279561106
0.0	1.51	-126.97161398635556
0.0	1.52	-127.34135543517304
0.0	1.53	-124.68742840385099
0.0	1.54	-125.39209987559683
0.0	1.55	-124.62176147218199
0.0	1.56	-125.36112566569625
0.0	1.57	-123.65647436192441
0.0	1.58	-123.99526786853477
0.0	1.59	-123.85672736625524
0.0	1.6	-125.72553801643252
0.0	1.61	-125.20121542728008
0.0	1.62	-125.27656750680632
0.0	1.6300000000000001	-126.37866625263912
0.0	1.6400000000000001	-125.7057475532807
0.0	1.6500000000000001	-132.5907043616867
0.0	1.6600000000000001	-126.25277454614991
0.0	1.6700000000000002	-131.42859931785975
0.0	1.6800000000000002	-135.77550971319835
0.0	1.6900000000000002	-135.9600277394363
0.0	1.7000000000000002	-129.46543786366726
0.0	1.7100000000000002	-130.89076070322906
0.0	1.7200000000000002	-132.42171977059147
0.0	1.7300000000000002	-139.6772311348258
0.0	1.7400000000000002	-inf
0.0	1.7500000000000002	-inf
0.0	1.7600000000000002	-135.87138100342287
0.0	1.7700000000000002	-inf
0.0	1.7800000000000002	-154.6343328469916
0.0	1.7900000000000003	-134.98194362737615
0.0	1.8000000000000003	-inf
1.0	1.41	-131.193090909706
1.0	1.42	-130.63967426494662
1.0	1.43	-134.34475776137398
1.0	1.44	-129.67456210529303
1.0	1.45	-130.33751680145048
1.0	1.46	-127.74880744653059
1.0	1.47	-130.5489455026744
1.0	1.48	-127.13472079038694
1.0	1.49	-125.67530588405455
1.0	1.5	-125.79183721603096
1.0	1.51	-127.86957800728099
1.0	1.52	-126.81506554788618
1.0	1.53	-127.46858632880712
1.0	1.54	-123.2326242982991
1.0	1.55	-126.62524735942438
1.0	1.56	-123.89123613459313
1.0	1.57	-123.54059016439666
1.0	1.58	-125.01234808996148
1.0	1.59	-123.96440220489802
1.0	1.6	-124.72754149031196
1.0	1.61	-125.75935550168226
1.0	1.62	-125.2230184986721
1.0	1.6300000000000001	-128.2603894543902
1.0	1.6400000000000001	-127.07448243268904
1.0	1.6500000000000001	-137.57589036863303
1.0	1.6600000000000001	-125.85567756875584
1.0	1.6700000000000002	-132.16098625908745
1.0	1.6800000000000002	-129.54956348507983
1.0	1.6900000000000002	-134.23414845123446
1.0	1.7000000000000002	-129.81055629444447
1.0	1.7100000000000002	-133.22242004157604
1.0	1.7200000000000002	-127.60544399443442
1.0	1.7300000000000002	-138.3509991108818
1.0	1.7400000000000002	-inf
1.0	1.7500000000000002	-138.57384560978835
1.0	1.7600000000000002	-inf
1.0	1.7700000000000002	-133.8316530469233
1.0	1.7800000000000002	-142.70510896005706
1.0	1.7900000000000003	-inf
1.0	1.8000000000000003	-inf
2.0	1.41	-134.32943790365408
2.0	1.42	-132.0262052044779
2.0	1.43	-131.31026781307216
2.0	1.44	-130.7696708536447
2.0	1.45	-131.32205793090932
2.0	1.46	-132.4147465287297
2.0	1.47	-128.45366805613938
2.0	1.48	-131.28023954654046
2.0	1.49	-125.59724800821242
2.0	1.5	-126.5018739734354
2.0	1.51	-125.88133264545675
2.0	1.52	-125.43642037677357
2.0	1.53	-124.0636332958727
2.0	1.54	-125.93168137614039
2.0	1.55	-123.6084824327005
2.0	1.56	-125.51645809893179
2.0	1.57	-124.53953482402844
2.0	1.58	-124.0674947063998
2.0	1.59	-125.13631113871189
2.0	1.6	-125.19374850885714
2.0	1.61	-125.79822055557749
2.0	1.62	-124.88066076982822
2.0	1.6300000000000001	-124.75230574990526
2.0	1.6400000000000001	-126.5925519031212
2.0	1.6500000000000001	-126.48164014006431
2.0	1.6600000000000001	-125.82797310698619
2.0	1.6700000000000002	-125.90863740361551
2.0	1.6800000000000002	-131.24044872093134
2.0	1.6900000000000002	-139.31075691131014
2.0	1.7000000000000002	-130.5812214918729
2.0	1.7100000000000002	-inf
2.0	1.7200000000000002	-142.95915943808305
2.0	1.7300000000000002	-128.91129433737962
2.0	1.7400000000000002	-135.97964658874983
2.0	1.7500000000000002	-inf
2.0	1.7600000000000002	-inf
2.0	1.7700000000000002	-141.67595514762903
2.0	1.7800000000000002	-inf
2.0	1.7900000000000003	-inf
2.0	1.8000000000000003	-148.25122974564516
3.0	1.41	-135.6674114296493
3.0	1.42	-133.70519043514975
3.0	1.43	-129.7463248741747
3.0	1.44	-133.81656975197942
3.0	1.45	-128.18685248368774
3.0	1.46	-132.49999940688645
3.0	1.47	-127.84700220846469
3.0	1.48	-126.88544907351991
3.0	1.49	-127.27080267037408
3.0	1.5	-124.74915464554401
3.0	1.51	-125.37740271530247
3.0	1.52	-126.59692864769686
3.0	1.53	-126.05647669828794
3.0	1.54	-126.20098216030982
3.0	1.55	-123.40670168456384
3.0	1.56	-124.25535234847435
3.0	1.57	-125.45193278790347
3.0	1.58	-125.03894073480915
3.0	1.59	-125.48861132136476
3.0	1.6	-126.01657778622365
3.0	1.61	-124.91700268288724
3.0	1.62	-127.0076698320316
3.0	1.6300000000000001	-125.39513570721962
3.0	1.6400000000000001	-126.78153014430474
3.0	1.6500000000000001	-128.87137279352777
3.0	1.6600000000000001	-127.52060031602824
3.0	1.6700000000000002	-127.76158079468236
