	t	genotype	recovered_window
0	36.9	0.0	40.0
1	40.0	11.0	40.0
2	39.2	10.0	40.0
3	39.4	4.0	40.0
4	38.2	5.0	40.0
5	37.6	0.0	40.0
6	36.1	0.0	40.0
7	38.7	0.0	40.0
8	38.5	15.0	40.0
9	38.5	16.0	40.0
10	39.4	10.0	40.0
11	37.1	0.0	40.0
12	37.4	5.0	40.0
13	37.7	0.0	40.0
14	38.8	16.0	40.0
15	39.2	15.0	40.0
16	37.9	0.0	40.0
17	39.5	0.0	40.0
18	39.0	17.0	40.0
19	38.0	0.0	40.0
20	38.1	4.0	40.0
21	39.8	28.0	40.0
22	38.6	0.0	40.0
23	39.6	0.0	40.0
24	37.3	0.0	40.0
25	40.0	4.0	40.0
26	38.8	5.0	40.0
27	37.7	5.0	40.0
28	36.7	10.0	40.0
29	37.9	0.0	40.0
30	39.0	0.0	40.0
31	37.2	4.0	40.0
32	38.2	0.0	40.0
33	37.3	0.0	40.0
34	39.1	0.0	40.0
35	38.4	11.0	40.0
36	38.7	0.0	40.0
37	38.1	17.0	40.0
38	36.8	0.0	40.0
39	39.5	16.0	40.0
0	41.1	0.0	44.0
1	40.7	0.0	44.0
2	43.7	0.0	44.0
3	40.5	0.0	44.0
4	42.8	14.0	44.0
5	43.0	0.0	44.0
6	43.5	14.0	44.0
7	43.6	38.0	44.0
8	43.9	0.0	44.0
9	41.9	0.0	44.0
10	40.1	5.0	44.0
11	42.0	16.0	44.0
12	41.4	5.0	44.0
13	42.2	4.0	44.0
14	43.2	16.0	44.0
15	42.7	21.0	44.0
16	43.8	26.0	44.0
17	41.1	16.0	44.0
18	42.4	0.0	44.0
19	42.8	29.0	44.0
20	41.5	0.0	44.0
21	41.1	0.0	44.0
22	40.4	0.0	44.0
23	43.0	0.0	44.0
24	43.7	32.0	44.0
25	41.9	10.0	44.0
26	42.4	31.0	44.0
27	42.0	27.0	44.0
28	43.7	4.0	44.0
29	42.3	29.0	44.0
30	43.9	18.0	44.0
31	42.8	14.0	44.0
32	43.5	15.0	44.0
33	41.6	0.0	44.0
34	43.2	26.0	44.0
35	41.2	25.0	44.0
36	44.0	4.0	44.0
37	41.3	20.0	44.0
38	43.8	16.0	44.0
39	41.2	0.0	44.0
0	46.4	58.0	48.0
1	47.1	16.0	48.0
2	44.4	15.0	48.0
3	48.0	26.0	48.0
4	46.8	0.0	48.0
5	47.1	15.0	48.0
6	45.1	0.0	48.0
7	45.8	4.0	48.0
8	46.0	24.0	48.0
9	47.3	4.0	48.0
10	44.7	0.0	48.0
11	46.1	48.0	48.0
12	47.6	0.0	48.0
13	45.3	0.0	48.0
14	44.9	9.0	48.0
15	44.3	22.0	48.0
16	46.2	22.0	48.0
17	45.5	23.0	48.0
18	45.3	0.0	48.0
19	46.4	16.0	48.0
20	47.4	26.0	48.0
21	45.4	45.0	48.0
22	47.6	0.0	48.0
23	45.7	40.0	48.0
24	45.1	23.0	48.0
25	46.1	15.0	48.0
26	46.2	16.0	48.0
27	45.6	52.0	48.0
28	48.0	11.0	48.0
29	47.4	0.0	48.0
30	46.3	16.0	48.0
31	45.9	41.0	48.0
32	47.5	16.0	48.0
33	47.1	23.0	48.0
34	47.4	16.0	48.0
35	47.9	0.0	48.0
36	45.5	0.0	48.0
37	44.6	0.0	48.0
38	47.8	22.0	48.0
39	46.9	0.0	48.0
0	50.1	19.0	52.0
1	51.8	0.0	52.0
2	50.3	4.0	52.0
3	51.1	50.0	52.0
4	51.6	0.0	52.0
5	49.0	56.0	52.0
6	51.0	15.0	52.0
7	51.2	0.0	52.0
8	51.4	91.0	52.0
9	51.0	26.0	52.0
10	49.0	68.0	52.0
11	50.4	26.0	52.0
12	51.9	111.0	52.0
13	51.5	0.0	52.0
14	48.7	0.0	52.0
15	51.7	26.0	52.0
16	48.5	26.0	52.0
17	50.8	29.0	52.0
18	48.2	0.0	52.0
19	48.9	0.0	52.0
20	50.0	57.0	52.0
21	51.5	113.0	52.0
22	51.1	85.0	52.0
23	51.5	74.0	52.0
24	50.0	53.0	52.0
25	49.2	19.0	52.0
26	52.0	16.0	52.0
27	51.1	16.0	52.0
28	49.0	0.0	52.0
29	50.2	95.0	52.0
30	48.2	4.0	52.0
31	48.4	15.0	52.0
32	51.8	4.0	52.0
33	48.6	22.0	52.0
34	50.4	39.0	52.0
35	48.1	42.0	52.0
36	51.9	16.0	52.0
37	51.1	22.0	52.0
38	51.9	107.0	52.0
39	48.2	14.0	52.0
0	54.8	123.0	56.0
1	53.5	129.0	56.0
2	55.1	56.0	56.0
3	54.0	39.0	56.0
4	55.2	89.0	56.0
5	54.3	53.0	56.0
6	56.0	14.0	56.0
7	54.2	36.0	56.0
8	55.5	105.0	56.0
9	53.1	69.0	56.0
10	53.1	73.0	56.0
11	54.5	15.0	56.0
12	54.7	56.0	56.0
13	53.8	78.0	56.0
14	54.4	0.0	56.0
15	54.6	26.0	56.0
16	54.7	60.0	56.0
17	52.5	4.0	56.0
18	54.7	23.0	56.0
19	52.2	0.0	56.0
20	52.4	23.0	56.0
21	55.6	57.0	56.0
22	54.2	16.0	56.0
23	55.7	0.0	56.0
24	52.5	0.0	56.0
25	54.7	62.0	56.0
26	52.2	109.0	56.0
27	55.5	23.0	56.0
28	55.8	0.0	56.0
29	52.9	116.0	56.0
30	55.4	9.0	56.0
31	52.5	23.0	56.0
32	54.7	87.0	56.0
33	54.8	64.0	56.0
34	55.4	16.0	56.0
35	55.1	123.0	56.0
36	55.8	0.0	56.0
37	53.0	4.0	56.0
38	52.4	0.0	56.0
39	53.9	14.0	56.0
0	57.9	4.0	60.0
1	59.2	147.0	60.0
2	56.2	14.0	60.0
3	58.4	23.0	60.0
4	56.3	23.0	60.0
5	57.5	15.0	60.0
6	57.3	0.0	60.0
7	57.1	181.0	60.0
8	60.0	69.0	60.0
9	59.7	23.0	60.0
10	58.8	4.0	60.0
11	57.3	113.0	60.0
12	56.9	149.0	60.0
13	56.4	63.0	60.0
14	58.4	180.0	60.0
15	57.5	53.0	60.0
16	58.4	16.0	60.0
17	57.7	0.0	60.0
18	58.2	0.0	60.0
19	57.5	36.0	60.0
20	56.6	26.0	60.0
21	57.5	14.0	60.0
22	60.0	173.0	60.0
23	56.7	150.0	60.0
24	57.3	57.0	60.0
25	58.7	60.0	60.0
26	58.9	101.0	60.0
27	58.0	14.0	60.0
28	58.6	0.0	60.0
29	56.9	69.0	60.0
30	58.4	64.0	60.0
31	59.8	56.0	60.0
32	58.5	138.0	60.0
33	56.7	22.0	60.0
34	58.2	117.0	60.0
35	58.5	15.0	60.0
36	57.8	15.0	60.0
37	57.8	73.0	60.0
38	56.6	26.0	60.0
39	59.1	0.0	60.0
0	62.8	104.0	64.0
1	61.8	60.0	64.0
2	61.4	155.0	64.0
3	63.4	155.0	64.0
4	60.7	169.0	64.0
5	63.5	188.0	64.0
6	61.8	230.0	64.0
7	61.9	246.0	64.0
8	62.7	133.0	64.0
9	62.0	24.0	64.0
10	62.4	253.0	64.0
11	60.2	200.0	64.0
12	63.7	56.0	64.0
13	62.6	275.0	64.0
14	60.5	60.0	64.0
15	61.1	66.0	64.0
16	60.3	168.0	64.0
17	62.6	0.0	64.0
18	61.4	16.0	64.0
19	63.8	210.0	64.0
20	61.4	56.0	64.0
21	61.8	168.0	64.0
22	63.4	0.0	64.0
23	60.5	23.0	64.0
24	61.0	22.0	64.0
25	60.7	0.0	64.0
