n_iter	R0	llh
0.0	1.0	-238.3383116921764
0.0	1.05	-178.55853041522698
0.0	1.1	-141.1057245847753
0.0	1.1500000000000001	-141.47539240340686
0.0	1.2000000000000002	-73.38237964768877
0.0	1.2500000000000002	-64.3142428464794
0.0	1.3000000000000003	-62.635450064487
0.0	1.3500000000000003	-61.345670171023656
0.0	1.4000000000000004	-60.11641129359093
0.0	1.4500000000000004	-60.261857858296196
0.0	1.5000000000000004	-60.71254011389906
0.0	1.5500000000000005	-61.31344196245507
0.0	1.6000000000000005	-60.64511193526664
0.0	1.6500000000000006	-60.66128956511866
0.0	1.7000000000000006	-62.22042760615033
0.0	1.7500000000000007	-62.55113136186102
0.0	1.8000000000000007	-63.24224945940907
0.0	1.8500000000000008	-60.592783246982854
0.0	1.9000000000000008	-70.34833742061139
0.0	1.9500000000000008	-72.11896969664359
0.0	2.000000000000001	-66.43252587725895
0.0	2.0500000000000007	-76.30689783526412
0.0	2.100000000000001	-78.44291852274687
0.0	2.1500000000000012	-94.61072683685809
0.0	2.200000000000001	-inf
0.0	2.250000000000001	-inf
0.0	2.300000000000001	-inf
0.0	2.3500000000000014	-inf
0.0	2.4000000000000012	-inf
0.0	2.450000000000001	-inf
0.0	2.5000000000000013	-inf
