n_iter	log10eta	R0	llh
0.0	-2.399999999999995	2.300000000000001	-29.025478931801675
0.0	-2.399999999999995	2.4000000000000012	-29.721171002607782
0.0	-2.199999999999995	1.0	-103.34152933092005
0.0	-2.199999999999995	1.1	-93.51677513296637
0.0	-2.199999999999995	1.2000000000000002	-85.65967808060952
0.0	-2.199999999999995	1.3000000000000003	-71.44004501910243
0.0	-2.199999999999995	1.4000000000000004	-68.18348055726557
0.0	-2.199999999999995	1.5000000000000004	-60.37541026054504
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
